"Company ID","Name","Company Domain Name","Company owner","City","Country/Region","Sistema de Ensino","State/Region","Associated Deals","Associated Company ID","Associated Company"
"5285627634","COC ARARAQUARA - MORUMBI","","","Araraquara","","COC (Arco)","SP","1.0","",""
"5285522187","COC ARAUCÁRIA","","Nicole Oliveira","Araucária","","COC (Arco)","PR","1.0","",""
"5285524199","COC ATIBAIA","","Nicole Oliveira","Atibaia","","COC (Arco)","SP","1.0","",""
"5285517352","COC BALNEÁRIO","","","Balneário Camboriú","","COC (Arco)","SC","","",""
"5285629511","COC BERTIOGA","","Karen Bustamante","INDAIA","","COC (Arco)","SP","1.0","",""
"5285545151","COC JABOTICABAL","","Karen Bustamante","Jaboticabal","","COC (Arco)","SP","1.0","",""
"5285666086","COC JAÚ","","Nicole Oliveira","Jaú","","COC (Arco)","SP","1.0","",""
"5285615677","COC BATATAIS","","Karen Bustamante","Batatais","","COC (Arco)","SP","1.0","",""
"5285531185","COC BAURU","","Karen Bustamante","Santa Tereza","","COC (Arco)","SP","1.0","",""
"5285549010","COC BLUMENAU","","Karen Bustamante","Blumenau","","COC (Arco)","SC","1.0","",""
"5285629515","COC CALDAS NOVAS","","","Caldas Novas","","COC (Arco)","GO","1.0","",""
"5285549012","COC COGNUS ARARAS","","","Araras","","COC (Arco)","SP","1.0","",""
"5285528539","COC FLORIANÓPOLIS","","Karen Bustamante","Florianópolis","","COC (Arco)","SC","1.0","",""
"5285614436","COC FRANCA","","Karen Bustamante","Franca","","COC (Arco)","SP","1.0","",""
"5285536873","COC GUANABARA","","","Rio de Janeiro","","COC (Arco)","RJ","1.0","",""
"5285522183","COC Ilha do Governador","","André Lopes","Rio de Janeiro","","COC (Arco)","RJ","2.0","",""
"5285538224","COC PALMAS","","Karen Bustamante","Palmas","","COC (Arco)","TO","1.0","",""
"5285520250","COC PIRACICABA - EI/EF","","Nicole Oliveira","Piracicaba","","COC (Arco)","SP","1.0","",""
"5285553995","COC RIO DO SUL","","Nicole Oliveira","Rio do Sul","","COC (Arco)","SC","1.0","",""
"5285666091","COC SALTO","","Karen Bustamante","Salto","","COC (Arco)","SP","1.0","",""
"5285517351","Cursinho Einstein/COC Botucatu","","Karen Bustamante","Botucatu","","COC (Arco)","SP","1.0","",""
"5285524200","Monteiro Lobato - COC FRANCA","","","Franca","","COC (Arco)","SP","1.0","",""
"5285553994","COC LAGES","","Nicole Oliveira","Lages","","COC (Arco)","SC","1.0","",""
"5285545157","COC LAGO NORTE","","Karen Bustamante","Brasília","","COC (Arco)","DF","1.0","",""
"5285552695","COC LEME","","Karen Bustamante","Leme","","COC (Arco)","SP","1.0","",""
"5285540104","COC MARABÁ","","","Marabá","","COC (Arco)","PA","1.0","",""
"5285553998","COC MATÃO EM","","Karen Bustamante","Matão","","COC (Arco)","SP","1.0","",""
"5285629507","COC SÃO BERNARDO DO CAMPO","","","São Bernardo do Campo","","COC (Arco)","SP","1.0","",""
"5285515719","COC SÃO JOÃO","","Nicole Oliveira","São João da Boa Vista","","COC (Arco)","SP","1.0","",""
"5285550539","COC SÃO JOSÉ DOS CAMPOS","","Nicole Oliveira","Centro","","COC (Arco)","SP","1.0","",""
"5285636030","COC SÃO LOURENÇO","","Nicole Oliveira","São Lourenço","","COC (Arco)","MG","1.0","",""
"5285528535","COC SETOR NORTE","","Nicole Oliveira","Goiânia","","COC (Arco)","GO","1.0","",""
"5285517341","COC SOLUÇÕES EDUCACIONAIS","","","Araucária","","COC (Arco)","PR","1.0","",""
"5285528536","COC UBERABA","","","Uberaba","","COC (Arco)","MG","1.0","",""
"5285534748","COC UNIVERSITARIO SANTOS","","","Santos","","COC (Arco)","SP","1.0","",""
"5285520256","COG EDUCAÇÃO","","","Marabá","","COC (Arco)","PA","1.0","",""
"5285550551","COLÉGIO ACADÊMICO COC LIMEIRA","","Caroline Zilker","Limeira","","COC (Arco)","SP","1.0","",""
"5285536874","COLÉGIO ÁGAPE VARGINHA","","Karen Bustamante","Varginha","","COC (Arco)","MG","1.0","",""
"5284588280","COLÉGIO AGNUS DEI","","Karen Bustamante","Rio Largo","","COC (Arco)","AL","1.0","",""
"5285636034","COLÉGIO ALCANCE - EF","","Karen Bustamante","Jacareí","","COC (Arco)","SP","1.0","",""
"5285534745","COLÉGIO ALFA","","Karen Bustamante","Duque de Caxias","","COC (Arco)","RJ","1.0","",""
"5285636029","COLÉGIO ALPHA COC","","Karen Bustamante","Monte Carmelo","","COC (Arco)","MG","1.0","",""
"5285627624","COLÉGIO ALPHA VIRADOURO","","Karen Bustamante","Viradouro","","COC (Arco)","SP","1.0","",""
"5285534741","COLÉGIO ANJO DA GUARDA","","","Bebedouro","","COC (Arco)","SP","","",""
"5285524210","COLÉGIO ANTONIO CRUZ","","","Paramirim","","COC (Arco)","BA","","",""
"5285533392","COLÉGIO ASTER","","Karen Bustamante","Balneário Camboriú","","COC (Arco)","SC","1.0","",""
"5285615678","COLÉGIO ATENA","","Karen Bustamante","Araxá","","COC (Arco)","MG","1.0","",""
"5285554006","COLÉGIO ÁTOMO - EM","","Karen Bustamante","Presidente Prudente","","COC (Arco)","SP","1.0","",""
"5285541965","COLEGIO BATISTA ","","Karen Bustamante","Itacaré","","COC (Arco)","BA","1.0","",""
"5285552704","COLÉGIO BIOMÁXIMO","","Karen Bustamante","Montes Claros","","COC (Arco)","MG","1.0","",""
"5285536882","COLÉGIO APOGEU","","","Palmital","","COC (Arco)","SP","1.0","",""
"5285549004","COLÉGIO APROV","","","Catalão","","COC (Arco)","GO","1.0","",""
"5285515715","COLÉGIO APROV IPAMERI","","","Ipameri","","COC (Arco)","GO","1.0","",""
"5285524208","COLÉGIO ARAGUAIA","","","Aparecida de Goiânia","","COC (Arco)","GO","1.0","",""
"5285533397","COLÉGIO ASSOCIADOS DA ILHA","","","Rio de Janeiro","","COC (Arco)","RJ","1.0","",""
"5285520261","COLÉGIO ASSUNÇÃO","","","Salvador","","COC (Arco)","BA","1.0","",""
"5285538222","COLÉGIO CANTINHO DA SABEDORIA","","","Nossa Senhora da Glória","","COC (Arco)","SE","1.0","",""
"5284588275","COLÉGIO CENEL","","Karen Bustamante","Brasília","","COC (Arco)","DF","1.0","",""
"5285552694","COLÉGIO CETK","","Karen Bustamante","Palhoça","","COC (Arco)","SC","1.0","",""
"5285546870","COLÉGIO CIDADE DE CARANGOLA","","","Carangola","","COC (Arco)","MG","","",""
"5285549011","COLÉGIO CIDADE NOVA MATRIZ","","","Cidade Nova IV","","COC (Arco)","PA","","",""
"5285524202","COLÉGIO COC IMPERATRIZ","","Karen Bustamante","Imperatriz","","COC (Arco)","MA","1.0","",""
"5285536880","COLÉGIO COC JARDIM BOTÂNICO","","Nicole Oliveira","Brasília","","COC (Arco)","DF","1.0","",""
"5285515707","COLÉGIO COC NOVO MUNDO","","Caroline Zilker","Praia Grande","","COC (Arco)","SP","1.0","",""
"5285554003","COLÉGIO COC SJC UNIDADE SUL","","","São José dos Campos","","COC (Arco)","SP","","",""
"5285517349","COLÉGIO COC TERESINA","","Karen Bustamante","Teresina","","COC (Arco)","PI","1.0","",""
"5285614435","COLÉGIO COC VILA YARA (EI/EM)","","Karen Bustamante","Osasco","","COC (Arco)","SP","1.0","",""
