instituição,inep,cidade,company_domain_name,telefone,link_qedu,uf,cidade_encontrada
SENAI,29460581,SALVADOR,http://www.senaicimatec.com.br/,-,http://www.qedu.org.br/escola/275919-senai-cimatec/censo-escolar,BA,"SALVADOR
 "
BERNOULLI SISTEMA DE ENSINO,31311723,CONTAGEM,https://www.bernoulli.com.br/sistema-de-ensino/abrangencia/,(31) 3029-4949,http://www.qedu.org.br/escola/158679-colegio-bernoulli/sobre,MG,"BELO HORIZONTE
 "
SENAI,29465320,LAURO DE FREITAS,https://www.mundosenai.com.br/escolas/senai-lauro-de-freitas/,(71) 3287-8058,http://qedu.org.br/escola/278844-senai-lauro-de-freitas/sobre,BA,"LAURO DE FREITAS
 "
TOTVS,35143996,SÃO PAULO,https://www.totvs.com/unidade/totvs-sao-paulo/,0800 709 8100,http://qedu.org.br/escola/181612-sao-mateus-colegio-eeiefm/censo-escolar,SP,"CATANDUVA
 "
COLÉGIO MARTHA FALCÃO,13025082,MANAUS,https://colegiomarthafalcao.com.br/novosite/,(92) 3303-0700,https://www.qedu.org.br/escola/9599-associacao-de-ciencias-educacao-e-tecnologia-da-amazonia-colegio-martha-falcao/censo-escolar,AM,"MANAUS
 "
COLEGIO VISCONDE DE PORTO SEGURO UI,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
GRUPO CETEC EDUCACIONAL,35136463,SÃO PAULO,https://br.linkedin.com/company/ceteceducacional,-,https://www.qedu.org.br/escola/195208-cetec-colegio/censo-escolar,SP,"SÃO PAULO
 "
CENTRO UNIVERSITÁRIO DR. LEÃO SAMPAIO,23165766,JUAZEIRO DO NORTE,https://unileao.edu.br/,-,http://www.qedu.org.br/escola/71387-eef-leao-sampaio-doutor/censo-escolar,CE,"JUAZEIRO DO NORTE
 "
SOCIEDADE INTELIGÊNCIA E CORAÇÃO,31007498,BELO HORIZONTE,https://br.linkedin.com/company/sic---sociedade-intelig%C3%AAncia-e-cora%C3%A7%C3%A3o,-,https://www.qedu.org.br/escola/141880-colegio-franciscano-coracao-de-maria/censo-escolar,MG,"BELO HORIZONTE
 "
EB EDUCAÇÃO,42000920,SÃO PAULO,https://www.brltrust.com.br/?administracao=eb-capital-educacao-fip,-,http://www.qedu.org.br/escola/220997-eb-paulo-fontes/censo-escolar,SP,"FLORIANÓPOLIS
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,(11) 4084-1888,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,SP,"SÃO PAULO
 "
TURNITIN,,SÃO PAULO,https://www.turnitin.com/pt,-,,SP,SÃO PAULO
EPD - ESCOLA PAULISTA DE DIREITO,35101047,SÃO PAULO,http://www.epd.edu.br/,(11) 3273-3600,https://www.qedu.org.br/escola/187591-escola-paulista/censo-escolar,SP,"SÃO PAULO
 "
COLÉGIO TURCI & RIBEIRO EIRELI - COLÉGIO SEPP,,JACAREÍ,https://colegiosepp.com.br/,-,,SP,JACAREÍ
COLÉGIO VISCONDE DE PORTO SEGURO,35136025,VALINHOS,https://www.portoseguro.org.br/unidade/detalhe/valinhos,-,http://www.qedu.org.br/escola/191305-porto-seguro-visconde-colegio-unidade-ii/sobre,SP,"VALINHOS
 "
COLÉGIO SANTO ANJO,41155815,CURITIBA,https://www.colegiosantoanjo.com.br/,-,http://www.qedu.org.br/escola/278670-colegio-santo-anjo-barigui-ens-fundamental-e-ens-medio/sobre,PR,"CURITIBA
 "
COLÉGIO FARROUPILHA,43104975,PORTO ALEGRE,https://www.colegiofarroupilha.com.br/,(51) 3455-1858,http://www.qedu.org.br/escola/231686-centro-ens-medio-farroupilha/censo-escolar,RS,"PORTO ALEGRE
 "
CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,,SÃO JOÃO DA BOA VISTA,https://www.fae.br/,(19) 3638-0240,,SP,SÃO JOÃO DA BOA VISTA
ULBRA,43097782,PASSO FUNDO,https://www.ulbra.br/ead/graduacao,-,http://qedu.org.br/escola/258322-colegio-notre-dame/sobre,RS,"PASSO FUNDO
 "
UNIVERSIDADE CATÓLICA DOM BOSCO,50030310,CAMPO GRANDE,https://site.ucdb.br/,(67) 3312-3300,https://www.qedu.org.br/escola/258988-cei-sao-domingos-savio-ucdb/censo-escolar,MS,"CAMPO GRANDE
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
CENTRO EDUCACIONAL ESTAÇÃO DO APRENDER,33177775,NITERÓI,http://estacaodoaprender.com.br/,(21) 3629-5652,https://www.qedu.org.br/escola/281950-centro-educacional-estacao-do-aprender/censo-escolar,RJ,"NITERÓI
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,-,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,SP,"SÃO PAULO
 "
CRUZEIRO,35130758,SÃO PAULO,https://pt.wikipedia.org/wiki/Cruzeiro_(S%C3%A3o_Paulo),-,http://www.qedu.org.br/escola/193345-cruzeiro-do-sul-colegio-unidade-ii/sobre,SP,"SÃO PAULO
 "
COLÉGIO MARIA ESTER,23073578,FORTALEZA,http://www.cme1.com.br/,-,http://www.qedu.org.br/escola/61452-colegio-maria-ester/sobre,CE,"FORTALEZA
 "
UNIFSA - CENTRO UNIVERSITÁRIO SANTO AGOSTINHO,22138544,TERESINA,https://www.unifsa.com.br/,(86) 3215-8700,http://www.qedu.org.br/escola/51014-instituto-santo-agostinho/sobre,PI,"TERESINA
 "
UNILEÃO,,ICÓ,https://unileao.edu.br/,-,,CE,ICÓ
SENAI,29988730,FEIRA DE SANTANA,https://www.mundosenai.com.br/escolas/senai-feira-de-santana/,(75) 3229-9100,http://qedu.org.br/escola/132607-senai-escola-monte/sobre,BA,"FEIRA DE SANTANA
 "
AUTÔNOMA,,PARAÍSO,https://professorlfg.jusbrasil.com.br/artigos/156319166/policia-federal-autonoma-num-paraiso-da-cleptocracia?ref=amp,-,,SP,PARAÍSO
REDE DAMAS EDUCACIONAL,26122081,RECIFE,https://rededamas.gupy.io/,(81) 3194-5650,http://qedu.org.br/escola/86002-colegio-das-damas-da-instrucao-crista/censo-escolar,PE,"RECIFE
 "
COLÉGIO DONA CLARA,31246051,BELO HORIZONTE,https://www.donaclara.com.br/,(31) 3497-6919,http://www.qedu.org.br/escola/160889-colegio-dona-clara/sobre,MG,"BELO HORIZONTE
 "
SENAI BA,29460557,SALVADOR,http://www.senaicimatec.com.br/,-,https://www.qedu.org.br/escola/276020-senai-dendezeiros/sobre,BA,"SALVADOR
 "
CRM EDUCACIONAL,35118928,SÃO PAULO,https://crmeducacional.com/,(31) 2531-3161,http://www.qedu.org.br/escola/188424-colegio-modulo/sobre,SP,"SÃO PAULO
 "
SESSI-DR/ES,32040067,VITÓRIA,https://www.sesies.com.br/,-,http://www.qedu.org.br/escola/164975-eeem-colegio-estadual-do-espirito-santo/sobre,ES,"VITÓRIA
 "
