instituição,inep,cidade,company_domain_name,telefone,link_qedu,uf,cidade_encontrada
UNIVERSIDADE VEIGA DE ALMEIDA,,RIO DE JANEIRO,https://www.uva.br/,http://qedu.org.br/escola/180849-colegio-veiga-de-almeida/enem,(21) 2574-8888,RJ,"RIO DE JANEIRO
 "
AUTÔNOMA,35158483,SÃO PAULO,https://fadisp.com.br/,http://www.qedu.org.br/escola/208514-colegio-stockler/sobre,-,SP,"SÃO PAULO
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35136025,VALINHOS,https://www.portoseguro.org.br/unidade/detalhe/valinhos,http://www.qedu.org.br/escola/191305-porto-seguro-visconde-colegio-unidade-ii/sobre,-,SP,"VALINHOS
 "
COLÉGIO ANGLO - BRASILEIRO,29422248,SALVADOR,http://colegioanglobrasileiro.com.br/,http://www.qedu.org.br/escola/131557-colegio-anglo-brasileiro/sobre,(71) 3367-3040,BA,"SALVADOR
 "
LOURES,35118928,SÃO PAULO,https://www.linkedin.com/company/loures-consultoria,http://www.qedu.org.br/escola/188424-colegio-modulo/sobre,(11) 2391-5005,SP,"SÃO PAULO
 "
EDUCADOR21,33087555,RIO DE JANEIRO,https://br.linkedin.com/company/educador21,http://www.qedu.org.br/escola/169912-colegio-angelorum/sobre,-,RJ,"RIO DE JANEIRO
 "
INSTITUTO PRESBITERIANO MACKENZIE,35103861,SÃO PAULO,https://www.mackenzie.br/,http://www.qedu.org.br/escola/182259-mackenzie-colegio-presbiteriano/censo-escolar,-,SP,"SÃO PAULO
 "
ANHEMBI MORUMBI,35105971,SÃO PAULO,https://portal.anhembi.br/,http://www.qedu.org.br/escola/192185-colegio-anhembi-morumbi/sobre,(11) 4007-1192,SP,"SÃO PAULO
 "
UNIVERSIDADE LA SALLE,43105084,PORTO ALEGRE,https://www.unilasalle.edu.br/canoas,http://www.qedu.org.br/escola/218881-colegio-la-salle-santo-antonio/sobre,(51) 3476-8500,RS,"PORTO ALEGRE
 "
ÂNIMA HOLDING,35162516,SÃO PAULO,https://animaeducacao.com.br/,http://www.qedu.org.br/escola/203861-escola-anima/sobre,(11) 4302-2611,SP,"SÃO PAULO
 "
CONTINUUM ASSESSORIA E CONSULTORIA EMPRESARIAL E EDUCACIONAL LTDA,51064715,SÃO PAULO,https://cnpj.biz/04755579000153,http://qedu.org.br/escola/263896-ee-terra-nova/sobre,-,SP,"TERRA NOVA DO NORTE
 "
COLÉGIO MATER AMABILIS,35108145,GUARULHOS,http://www.colegioma.com/,http://www.qedu.org.br/escola/208009-colegio-mater-amabilis/sobre,(11) 3809-2000,SP,"GUARULHOS
 "
GRUPO EDUCACIONAL UNINTER,,CURITIBA,https://www.uninter.com/,,(41) 2102-3420,PR,CURITIBA
UNIFENAS,31180211,ALFENAS,https://www.unifenas.br/,http://qedu.org.br/escola/155029-colegio-atenas/sobre,-,MG,"ALFENAS
 "
INSTITUTO PRESBITERIANO MACKENZIE,53009940,LAGO SUL,https://www.mackenzie.br/colegios/brasilia,http://www.qedu.org.br/escola/242887-colegio-presbiteriano-mackenzie-brasilia/sobre,-,DF,"BRASÍLIA
 "
DL EDUC,26156202,RECIFE,http://www.portaldaeducacao.recife.pe.gov.br/projetoseacoes,http://www.qedu.org.br/escola/87988-md-educacional-colegio-madre-de-deus-unidade-ii/sobre,-,PE,"RECIFE
 "
,,OSASCO,http://www.osasco.sp.gov.br/,INVALIDO,-,SP,OSASCO
INSTITUTO ELA -EDUCADORAS DO BRASIL,35990012,SÃO PAULO,https://www.abrela.org.br/,http://www.qedu.org.br/escola/184565-instituto-federal-de-sao-paulo-campus-sao-paulo/sobre,-,SP,"SÃO PAULO
 "
ABRH,35127115,SÃO CAETANO DO SUL,https://abrhsp.org.br/conteudo/abrh-sp-no-estadao/institucional-francisco-soeltl-assume-secretaria-em-sao-caetano-do-sul/,http://www.qedu.org.br/escola/211815-objetivo-centro-educacional-unidade-de-sao-caetano-do-sul/sobre,(11) 5112-0600,SP,"SÃO CAETANO DO SUL
 "
CENTRO UNIVERSITÁRIO IESB,53010639,BRASILIA,https://www.iesb.br/,http://www.qedu.org.br/escola/244177-ced-lumni/censo-escolar,(61) 3340-3747,DF,"BRASÍLIA
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,-,SP,"SÃO PAULO
 "
NATIONAL GEOGRAPHIC LEARNING,35287581,SÃO PAULO,https://eltngl.com/assets/html/latam/brazil/,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,-,SP,"SÃO PAULO
 "
INSTITUTO DE ENSINO SUPERIOR FRANCISCANO - IESF,,SÃO JOSÉ DE RIBAMAR,https://iesfma.com.br/,,(98) 3274-3204,MA,SÃO JOSÉ DE RIBAMAR
CIEE,35287532,SÃO PAULO,https://portal.ciee.org.br/sp,http://qedu.org.br/escola/198695-instituto-sao-bento-de-ensino/sobre,-,SP,"SÃO PAULO
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
CENTRO DE EDUCAÇÃO PROFISSIONAL LTDA,13081101,MANAUS,https://www.melhorescola.com.br/escola/centro-de-assistencia-educacional-ltdaepp-centro-literatus,http://www.qedu.org.br/escola/9069-centro-de-educacao-profissional-ltda-centro-literatus/sobre,(92) 99136-1053,AM,"MANAUS
 "
INSTITUTO PRESBITERIANO MACKENZIE,17055962,PALMAS,https://www.mackenzie.br/colegios/palmas,https://www.qedu.org.br/escola/282928-colegio-presbiteriano-mackenzie-palmas/sobre,(63) 3236-5300,TO,"PALMAS
 "
SENAI - SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL,33455236,FEIRA DE SANTANA,http://www.fieb.org.br/SENAI/Pagina/2784/Unidade-Feira-de-Santana.aspx,http://www.qedu.org.br/escola/178587-senai/sobre,(12) 3519-4850,BA,"MACAÉ
 "
SAGRADO REDE DE EDUCAÇÃO,35115496,BAURU,https://www.sagradoeducacao.com.br/,http://www.qedu.org.br/escola/188481-colegio-sao-jose/sobre,(14) 3012-8650,SP,"BAURU
 "
ESCOLA CLÁRITAS,35004858,SÃO PAULO,http://www.escolaclaritas.com.br/,https://www.qedu.org.br/escola/285422-claritas-educacao-infantil-e-fundamental/sobre,(11) 5585-0132,SP,"SÃO PAULO
 "
COLÉGIO SEPP,35137194,JACAREÍ,https://colegiosepp.com.br/,http://www.qedu.org.br/escola/185991-saint-exupery-pequeno-principe-colegio-sepp/sobre,(12) 3952-6200,SP,"JACAREÍ
 "
GRUPO EDUCACIONAL UNINTER,,CURITIBA,https://www.uninter.com/,,(41) 2102-3420,PR,CURITIBA
GRUPO MARISTA,41361890,CURITIBA,https://grupomarista.org.br/,http://www.qedu.org.br/escola/213727-marista-santa-monica-c-ei-ef-m/sobre,(41) 3271-2309,PR,"PONTA GROSSA
 "
DELINEA TECNOLOGIA EDUCACIONAL,42114357,FLORIANÓPOLIS,https://www.delinea.com.br/,https://www.qedu.org.br/escola/219423-centro-de-ensino-guroo/censo-escolar,(48) 3207-3414,SC,"FLORIANÓPOLIS
 "
INSTITUTO PRESBITERIANO MACKENZIE,53009940,LAGO SUL,https://www.mackenzie.br/colegios/brasilia,http://www.qedu.org.br/escola/242887-colegio-presbiteriano-mackenzie-brasilia/sobre,-,DF,"BRASÍLIA
 "
EDUKON,,FORTALEZA,https://consultas.plus/lista-de-empresas/ceara/fortaleza/40051167000104-edukon-solucoes-educacionais-ltda/,,-,CE,FORTALEZA
BERNOULLI EDUCAÇÃO,31311723,BELO HORIZONTE,https://www.bernoulli.com.br/bernoulli-educacao/,http://www.qedu.org.br/escola/158679-colegio-bernoulli/sobre,(31) 3306-9600,MG,"BELO HORIZONTE
 "
REDE DAMAS EDUCACIONAL,26122081,RECIFE,https://rededamas.gupy.io/,http://qedu.org.br/escola/86002-colegio-das-damas-da-instrucao-crista/censo-escolar,(81) 3194-5650,PE,"RECIFE
 "
CENTRO UNIVERSITÁRIO DE ITAJUBÁ,31061981,ITAJUBÁ,http://fepi.br/,https://www.qedu.org.br/escola/145634-colegio-da-fepi/sobre,(35) 3629-8400,MG,"ITAJUBÁ
 "
FAM - FACULDADE DE AMERICANA,35174294,AMERICANA,https://www.fam.br/a-fam/,https://www.qedu.org.br/escola/199328-colegio-americana/censo-escolar,(19) 3465-8100,SP,"AMERICANA
 "
UNICHRISTUS,23462442,FORTALEZA,https://unichristus.edu.br/,http://www.qedu.org.br/escola/58041-colegio-christus-unidade-sul/sobre,(85) 3457-5300,CE,"FORTALEZA
 "
SOCIEDADE INTELIGÊNCIA E CORAÇÃO,31007498,BELO HORIZONTE,https://br.linkedin.com/company/sic---sociedade-intelig%C3%AAncia-e-cora%C3%A7%C3%A3o,https://www.qedu.org.br/escola/141880-colegio-franciscano-coracao-de-maria/censo-escolar,-,MG,"BELO HORIZONTE
 "
UNIVIÇOSA,,VIÇOSA,https://www.univicosa.com.br/,,(31) 3899-8000,MG,VIÇOSA
IDEAL EDUCAÇÃO,35810046,SÃO PAULO,https://www.colegioidealsp.com.br/,http://www.qedu.org.br/escola/208080-colegio-ideal/sobre,(11) 2215-6464,SP,"SÃO PAULO
 "
COLÉGIO ASTHER,35138769,CAMPINAS,https://www.colegioasther.com.br/,https://www.qedu.org.br/escola/182465-colegio-asther/censo-escolar,(19) 3753-6300,SP,"CAMPINAS
 "
COLEGIO TURCI E RIBEIRO,,JACAREI,https://jobs.solides.com/colegiosepp,https://webcache.googleusercontent.com/search?q=cache:WlWRdpFdO8QJ:https://www.qedu.org.br/escola/278627-aristeu-jose-turci-prof-emef/ideb+&cd=6&hl=pt-BR&ct=clnk&gl=br,-,SP,"JACAREÍ
 "
ANEC - ASSOCIAÇÃO NACIONAL DE EDUCAÇÃO CATÓLICA DO BRASIL,,BRASÍLIA,https://anec.org.br/,,-,DF,BRASÍLIA
COLÉGIO NOSSA SENHORA DO ROSÁRIO,41131657,CURITIBA,http://colegiorosariocuritiba.com.br/,http://www.qedu.org.br/escola/225273-colegio-nossa-senhora-do-rosario-educacao-infantil-ensino-fundamental-e-medio/sobre,(41) 3256-4543,PR,"CURITIBA
 "
UNESC - CENTRO UNIVERSITÁRIO DO ES,32010311,COLATINA,https://www.unesc.br/,http://www.qedu.org.br/escola/166273-colegio-marista/sobre,(27) 3723-3000,ES,"COLATINA
 "
COLÉGIO ALEMÃO HUMBOLDT,35003669,SÃO PAULO,https://www.humboldt.com.br/,http://www.qedu.org.br/escola/189472-alexandre-von-humboldt/sobre,(11) 5686-4055,SP,"SÃO PAULO
 "
LYCEUM,35101886,SÃO PAULO,https://www.lyceum.com.br/,http://qedu.org.br/escola/193169-colegio-espirito-santo/sobre,(11) 2149-9200,SP,"SÃO PAULO
 "
MITTE,35173712,SÃO PAULO,https://www.mittetecnologia.com.br/,https://www.qedu.org.br/escola/190171-colegio-fereguetti/censo-escolar,(11) 3884-5055,SP,"SÃO PAULO
 "
LOGICALIS,,EMBU-GUAÇU,https://br.linkedin.com/in/fabiula-rodrigues-98773134,,-,SP,EMBU-GUAÇU
COLÉGIO PLUS,35304414,BARRETOS,https://www.colegioplus.net/,http://qedu.org.br/escola/188240-colegio-plus-coc/sobre,(17) 3321-7575,SP,"BARRETOS
 "
CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE,24059293,NATAL,http://www.unirn.edu.br/,https://qedu.org.br/escola/69844-instituto-brasil/sobre,(84) 3215-2917,RN,"NATAL
 "
COLÉGIO FRANCISCANO PIO XII,35105314,SÃO PAULO,https://www.pioxiicolegio.com.br/,http://www.qedu.org.br/escola/210343-colegio-franciscano-pio-xii/sobre,(11) 3759-5050,SP,"SÃO PAULO
 "
AUBRICK,35429612,SÃO PAULO,https://aubrick.com.br/,http://qedu.org.br/escola/213369-aubrick-school-escola-bilingue-multicultural/sobre,(11) 5542-9940,SP,"SÃO PAULO
 "
SEMENTE EDUCAÇÃO S.A.,35050362,SÃO PAULO,https://programasemente.com.br/,http://www.qedu.org.br/escola/190089-eei-semente-bercario-e/sobre,(11) 2091-1397,SP,"RIBEIRÃO PRETO
 "
PUC-CAMPINAS,35112562,CAMPINAS,https://www.puc-campinas.edu.br/,https://www.qedu.org.br/escola/194619-colegio-notre-dame-de-campinas/censo-escolar,(19) 3343-7000,SP,"CAMPINAS
 "
SENAI,31267589,BELO HORIZONTE,http://www7.fiemg.com.br/senai/produto/cursos-tecnicos,http://www.qedu.org.br/escola/161315-senai-centro-tecnologico-de-eletroeletronica-cesar-rodrigues/sobre,-,MG,"BELO HORIZONTE
 "
CENTRO EDUCACIONAL ESTAÇÄO DO APRENDER,33177775,NITERÓI,http://estacaodoaprender.com.br/,https://www.qedu.org.br/escola/281950-centro-educacional-estacao-do-aprender/censo-escolar,(21) 3629-5652,RJ,"NITERÓI
 "
UNESC,32010311,COLATINA,https://www.unesc.br/,http://www.qedu.org.br/escola/166273-colegio-marista/sobre,(27) 3723-3000,ES,"COLATINA
 "
WORKALOVE,31324213,SETE LAGOAS,https://comunidade.startse.com/in/workalove1,http://qedu.org.br/escola/159109-ce-dimensao/sobre,(31) 3153-0603,MG,"SETE LAGOAS
 "
ELECTI EDUCACIONAL,35561125,SÃO PAULO,https://www.electi.com.br/,https://www.qedu.org.br/escola/274139-cp-educacional-colegio/censo-escolar,-,SP,"SÃO PAULO
 "
MAPFRE,35118928,SÃO PAULO,https://www.mapfre.com.br/para-voce/,http://www.qedu.org.br/escola/188424-colegio-modulo/sobre,-,SP,"SÃO PAULO
 "
SENAI,29460581,SALVADOR,http://www.senaicimatec.com.br/,http://www.qedu.org.br/escola/275919-senai-cimatec/censo-escolar,-,BA,"SALVADOR
 "
TECHNE ENGENHARIA E SISTEMAS,35287581,SÃO PAULO,https://www.techne.com.br/,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,(11) 2149-9200,SP,"SÃO PAULO
 "
CENTRO UNIVERSITÁRIO DE LAVRAS - UNILAVRAS,31328294,LAVRAS,https://unilavras.edu.br/,https://www.qedu.org.br/escola/148552-colegio-universitario-professor-canisio-ignacio-lunkes/censo-escolar,0800 283 2833,MG,"LAVRAS
 "
COLÉGIO DEL REY,31294900,PASSOS,https://www.colegiodelrey.com.br/,https://www.qedu.org.br/escola/152945-colegio-del-rey/censo-escolar,(35) 98861-7908,MG,"PASSOS
 "
INSIS CONSULTORIA E SISTEMAS,31074098,JUIZ DE FORA,https://www.facebook.com/insisconsultoria/,https://www.qedu.org.br/escola/137790-associacao-jesuita-de-educacao-e-assistencia-social/censo-escolar,-,MG,"JUIZ DE FORA
 "
CENTRO UNIVERSITÁRIO IESB,,BRASÍLIA,https://www.iesb.br/,https://www.qedu.org.br/escola/272453-c-universitario-inst-de-educ-superior-de-brasilia-iesb-unidade-asa-sul/sobre,(61) 3340-3747,DF,"BRASÍLIA
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
SARAIVA,35346640,SÃO PAULO,https://www.saraiva.com.br/sao-paulo-3660586/p,http://www.qedu.org.br/escola/183309-instituto-jorge-saraiva/sobre,-,SP,"SÃO PAULO
 "
ESCOLA DE ENSINO MÉDIO NOSSA SENHORA DE FÁTIMA,43146074,SAPUCAIA DO SUL,https://escolafatima.com.br/,http://www.qedu.org.br/escola/233397-eem-nossa-senhora-de-fatima/sobre,(51) 3474-3442,RS,"SAPUCAIA DO SUL
 "
COLÉGIO VIANNA,35809913,RIBEIRÃO PRETO,http://www.colegiovianna.com.br/fundamental.html,http://qedu.org.br/escola/204283-colegio-vianna/sobre,(16) 3625-5409,SP,"RIBEIRÃO PRETO
 "
COMUNIDADE ED O PEQUENO PRÍNCIPE,52087093,GOIÂNIA,https://www.melhorescola.com.br/escola/comunidade-educacional-o-pequeno-principe-ltda,http://www.qedu.org.br/escola/246787-comunidade-educacional-o-pequeno-principe-ltda/sobre,(62) 3241-8772,GO,"GOIÂNIA
 "
COLÉGIO SEPP,35137194,JACAREÍ,https://colegiosepp.com.br/,http://www.qedu.org.br/escola/185991-saint-exupery-pequeno-principe-colegio-sepp/sobre,(12) 3952-6200,SP,"JACAREÍ
 "
COLÉGIO MARTHA FALCÃO,13025082,MANAUS,https://colegiomarthafalcao.com.br/novosite/,https://www.qedu.org.br/escola/9599-associacao-de-ciencias-educacao-e-tecnologia-da-amazonia-colegio-martha-falcao/censo-escolar,(92) 3303-0700,AM,"MANAUS
 "
UNIFIPMOC,31096229,MONTES CLAROS,https://www.unifipmoc.edu.br/,https://qedu.org.br/escola/153813-centro-de-estudos-indyu/censo-escolar,(38) 3214-7100,MG,"MONTES CLAROS
 "
ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,29446767,SALVADOR,https://www.bahiana.edu.br/,http://www.qedu.org.br/escola/119841-escola-bahiana-de-ciencia-e-tecnologia/sobre,-,BA,"SALVADOR
 "
KNN IDIOMAS,,MOGI DAS CRUZES,https://www.knnidiomas.com.br/unidade/mogi-das-cruzes/,,-,SP,MOGI DAS CRUZES
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,-,SP,"SÃO PAULO
 "
FACULDADES PEQUENO PRÍNCIPE,41544897,CURITIBA,https://faculdadespequenoprincipe.edu.br/,http://www.qedu.org.br/escola/213642-cei-do-hospital-pequeno-principe/sobre,(41) 3310-1500,PR,"CURITIBA
 "
FTD EDUCAÇÃO,35157016,SÃO PAULO,https://ftd.com.br/,http://www.qedu.org.br/escola/196965-colegio-saab/sobre,-,SP,"SÃO PAULO
 "
COLÉGIO SAGRADO CORAÇÃO DE JESUS,,,,INVALIDO,,,
UNIVERSIDADE VEIGA DE ALMEIDA,,RIO DE JANEIRO,https://www.uva.br/,http://qedu.org.br/escola/180849-colegio-veiga-de-almeida/enem,(21) 2574-8888,RJ,"RIO DE JANEIRO
 "
COLÉGIO DIOCESANO DE CARUARU,26053837,CARUARU,https://diocesanocaruaru.g12.br/,http://www.qedu.org.br/escola/89367-colegio-diocesano-de-caruaru/sobre,(81) 3721-0833,PE,"CARUARU
 "
COLÉGIO CHAMINADE,35115496,BAURU,https://www.chaminade.com.br/,http://www.qedu.org.br/escola/188481-colegio-sao-jose/sobre,(14) 3235-1900,SP,"BAURU
 "
CAMINO EDUCATION,35133991,SÃO PAULO,https://caminoeducation.com/,https://www.qedu.org.br/escola/185433-ce-caminho-aberto/censo-escolar,(11) 98554-5711,SP,"SÃO PAULO
 "
CENTRO DE ENSINO UNIFICADO DO PIAUÍ -CEUPI,22028692,TERESINA,https://www.educaedu-brasil.com/centros/ceut--centro-de-ensino-unificado-de-teresina-uni3037,http://www.qedu.org.br/escola/49839-ue-monsenhor-cicero-portela-nunes/sobre,-,PI,"TERESINA
 "
COLÉGIO UNESC,42113601,CRICIÚMA,https://www.unesc.net/portal/colegio-unesc,http://www.qedu.org.br/escola/216060-colegio-unesc/sobre,(48) 3431-2530,SC,"CRICIÚMA
 "
ASSOCIAÇÃO FRANCO BRASILEIRA,33063419,RIO DE JANEIRO,http://www.congregacaosantosanjos.com.br/assembleia-da-associacao-franco-brasileira/,http://www.qedu.org.br/escola/172296-colegio-franco-brasileiro/sobre,(21) 2569-3344,RJ,"RIO DE JANEIRO
 "
COLÉGIO DONA CLARA,31246051,BELO HORIZONTE,https://www.donaclara.com.br/,http://www.qedu.org.br/escola/160889-colegio-dona-clara/sobre,(31) 3497-6919,MG,"BELO HORIZONTE
 "
COLÉGIO IMPERATRIZ DONA LEOPOLDINA,41100700,GUARAPUAVA,https://www.colegioimperatriz.net.br/,https://www.qedu.org.br/escola/239602-colegio-imperatriz-dona-leopoldina/censo-escolar,(42) 3625-8356,PR,"GUARAPUAVA
 "
SEJUNTA,35429156,SÃO PAULO,https://sejunta.com.br/,http://qedu.org.br/escola/206114-colegio-harmonia/censo-escolar,-,SP,"SÃO PAULO
 "
UNIVAS - UNIVERSIDADE DO VALE DO SAPUCAÍ,31343781,POUSO ALEGRE,https://www.univas.edu.br/,https://www.qedu.org.br/escola/160639-colegio-vale-do-sapucai/censo-escolar,(35) 3449-9234,MG,"POUSO ALEGRE
 "
maisA Educação SA,43105050,PORTO ALEGRE,https://br.linkedin.com/in/ma%C3%ADsa-andrade-b081251bb,https://www.qedu.org.br/escola/218489-escola-de-educ-bas-rainha-do-brasil/censo-escolar,-,RS,"PORTO ALEGRE
 "
CAMB - ESCOLA CAMINHO ABERTO,35133991,SÃO PAULO,http://escolacamb.com.br/,https://www.qedu.org.br/escola/185433-ce-caminho-aberto/censo-escolar,(11) 5575-8898,SP,"SÃO PAULO
 "
SINEPE RJ,33143676,NITERÓI,https://www.sineperj.org.br/,https://www.qedu.org.br/escola/179339-colegio-e-curso-m3-unidade-niteroi/censo-escolar,(21) 2717-5812,RJ,"NITERÓI
 "
COLÉGIO NOSSA SENHORA DOS PRAZERES,24061760,GOIANINHA,http://www.cnsprn.com.br/,http://www.qedu.org.br/escola/72660-colegio-nossa-senhora-dos-prazeres/sobre,(84) 3243-2290,RN,"GOIANINHA
 "
FACULDADE DE TECNOLOGIA EM SAÚDE,35114923,RIBEIRÃO PRETO,https://www.fatesa.edu.br/,http://www.qedu.org.br/escola/187896-colegio-brasil/sobre,-,SP,"RIBEIRÃO PRETO
 "
PERSONE,35173712,SAO PAULO,https://persone.com.br/,https://www.qedu.org.br/escola/190171-colegio-fereguetti/censo-escolar,(11) 2222-1132,SP,"SÃO PAULO
 "
FACULDADE CÁSPER LÍBERO,35052097,SÃO PAULO,https://casperlibero.edu.br/,http://www.qedu.org.br/escola/190322-emei-casper-libero/sobre,(11) 3170-5880,SP,"SÃO PAULO
 "
ISE BUSINESS SCHOOL,35161937,SÃO PAULO,https://ise.org.br/,https://www.qedu.org.br/escola/200178-brazilian-international-school/censo-escolar,(11) 3177-8200,SP,"SÃO PAULO
 "
ORDEM ROSACRUZ AMORC,,CURITIBA,https://www.amorc.org.br/,,-,PR,CURITIBA
CENTRO UNIVERSITÁRIO INTERNACIONAL - UNINTER,41156200,CURITIBA,https://www.uninter.com/centro-universitario-internacional/,https://www.qedu.org.br/escola/278167-ciebja-uninter-ef-m-p/censo-escolar,-,PR,"CURITIBA
 "
EXP INTELIGÊNCIA EDUCACIONAL,35561125,SÃO PAULO,https://www.facebook.com/expeduc/,https://www.qedu.org.br/escola/274139-cp-educacional-colegio/censo-escolar,(11) 3057-4063,SP,"SÃO PAULO
 "
CENTRO EDUCACIONAL HYARTE ML LTDA,,PARACATU,https://applocal.com.br/empresa/centro-educacional-hyarte-ml/paracatu/mg/9699402,,-,MG,PARACATU
COLÉGIO MORUMBI SUL,35124795,SÃO PAULO,https://morumbisul.com.br/,http://www.qedu.org.br/escola/189033-colegio-morumbi-sul/sobre,(11) 3594-0600,SP,"SÃO PAULO
 "
COLÉGIO VISCONDE DE PORTO SEGURO,35162243,SÃO PAULO,https://www.portoseguro.org.br/,http://www.qedu.org.br/escola/204726-visconde-de-porto-seguro-colegio-unidade-iii/sobre,-,SP,"SÃO PAULO
 "
UNIFSA - CENTRO UNIVERSITÁRIO SANTO AGOSTINHO,22138544,TERESINA,https://www.unifsa.com.br/,http://www.qedu.org.br/escola/51014-instituto-santo-agostinho/sobre,(86) 3215-8700,PI,"TERESINA
 "
MARISTA CENTRO-NORTE,53003659,TAGUATINGA,https://marista.edu.br/champagnat/,https://www.qedu.org.br/escola/243315-colegio-marista-champagnat/censo-escolar,(61) 2191-1522,DF,"BRASÍLIA
 "
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
TROIKA,,BRASÍLIA,https://www.troikabr.com/post/voc%C3%AA-j%C3%A1-conhece-a-nova-s%C3%B3cia-do-time-troika-%C3%A9-a-isabela-villas-boas,,(11) 3294-8295,DF,BRASÍLIA
COLÉGIO SANTO AMERICO,35105600,SÃO PAULO,https://www.santoamerico.org.br/,http://www.qedu.org.br/escola/208387-colegio-santo-americo/sobre,(11) 4084-1888,SP,"SÃO PAULO
 "
INSTITUTO ELA,35287581,SÃO PAULO,https://www.institutoela.org.br/quem-somos,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,(11) 96428-3796,SP,"SÃO PAULO
 "
COLÉGIO LA SALLE CAXIAS,43043666,CAXIAS DO SUL,https://lasalle.edu.br/caxias/,http://qedu.org.br/escola/231219-colegio-la-salle/censo-escolar,(54) 3223-7555,RS,"CAXIAS DO SUL
 "
COLÉGIO ASTHER,35138769,CAMPINAS,https://www.colegioasther.com.br/,https://www.qedu.org.br/escola/182465-colegio-asther/censo-escolar,(19) 3753-6300,SP,"CAMPINAS
 "
COLÉGIO 21 DE ABRIL,23064641,FORTALEZA,https://www.colegio21deabril.com.br/,http://www.qedu.org.br/escola/61503-colegio-21-de-abril/sobre,(85) 4006-0800,CE,"FORTALEZA
 "
COLEGIO CRESCER DE JUNDIAI,35175420,JUNDIAÍ,http://colegiocrescerjundiai.com.br/,http://qedu.org.br/escola/202669-colegio-crescer-de-jundiai/sobre,(11) 4587-7568,SP,"JUNDIAÍ
 "
UNIÃO BRASILEIRA DE EDUCAÇÃO E ENSINO,35810630,BRASÍLIA,https://br.linkedin.com/company/uniao-brasileira-de-educacao-e-ensino,https://qedu.org.br/escola/195689-ie-uniao-brasileira/sobre,(61) 2102-2152,DF,"SÃO PAULO
 "
COLÉGIO EXECUTIVO,24057061,NATAL,https://pt-br.facebook.com/colegioexecutivo,http://www.qedu.org.br/escola/77586-colegio-executivo-ltda/sobre,(84) 3236-2763,RN,"NATAL
 "
ASSOCIAO PROPAGADORA ESDEVA,,BELO HORIZONTE,http://www.svdesdeva.com.br/,,(31) 3524-5003,MG,BELO HORIZONTE
INTERATIVA,41031105,LONDRINA,https://interativalondrina.com.br/,http://www.qedu.org.br/escola/212744-eiefm-colegio-interativa/sobre,(43) 3376-8500,PR,"LONDRINA
 "
UNIFADRA,35466761,PRESIDENTE PRUDENTE,https://fundec.edu.br/unifadra/noticia/3257,http://www.qedu.org.br/escola/268766-esquema-unico-educacional-de-presidente-prudente/sobre,(18) 3821-9000,SP,"PRESIDENTE PRUDENTE
 "
ARQUITETURA EDUCACIONAL,42152054,FLORIANÓPOLIS,https://www.archdaily.com.br/br/927009/creche-em-florianopolis-e-a-primeira-do-mundo-com-selo-maximo-de-arquitetura-sustentavel,http://qedu.org.br/escola/280566-colegio-do-campeche/sobre,-,SC,"FLORIANÓPOLIS
 "
GREAT SCHOOLS,35287581,SÃO PAULO,https://www.international-schools-database.com/in/sao-paulo/top-schools-in-sao-paulo,http://www.qedu.org.br/escola/209262-colegio-sao-paulo/sobre,-,SP,"SÃO PAULO
 "
UNIÃO BRASILEIRA DE EDUCAÇÃO E ENSINO,35810630,BRASÍLIA,https://br.linkedin.com/company/uniao-brasileira-de-educacao-e-ensino,https://qedu.org.br/escola/195689-ie-uniao-brasileira/sobre,(61) 2102-2152,DF,"SÃO PAULO
 "
ISAAC,35140880,SÃO PAULO,https://lnb.com.br/atletas/isaac-rafael-gon%C3%A7alves/,http://www.qedu.org.br/escola/193338-colegio-isaac-newton-sir/sobre,-,SP,"SÃO PAULO
 "
