,company_id,name,company_domain_name,company_owner,city,telefone,country/region,sistema_de_ensino,state/region,associated_deals,associated_company_id,associated_company
34,5285615680,CENTRO EDUCACIONAL FREITAS CAVALCANTI,https://www.diretoriobrasil.com.br/atividade/terra-boa-pr/ensino-fundamental-85139_7917.html,,Terra Boa,-,,COC (Arco),PR,1.0,,
35,5285554004,CENTRO EDUCACIONAL FREITAS CAVALCANTI,https://www.coc.com.br/nossas-escolas/centro-educacional-freitas-cavalcanti,Guilherme Leite,Campo Mourão,(44) 3068-1718,,COC (Arco),PR,1.0,,
36,5285536872,CENTRO EDUCACIONAL JARDIM AMÁLIA,https://www.colegioceja.com.br/,,Volta Redonda,(24) 3342-2713,,COC (Arco),RJ,1.0,,
37,5285541963,CENTRO EDUCACIONAL MARIA NILZA,https://www.coc.com.br/nossas-escolas/centro-educacional-maria-nilza,,Brumado,(77) 3441-0215,,COC (Arco),BA,1.0,,
38,5285627631,CENTRO EDUCACIONAL PIAGET,https://www.educacionalpiaget.com.br/,Guilherme Leite,Dias d'Ávila,(71) 3625-5763,,COC (Arco),BA,1.0,,
39,5285534747,CENTRO EDUCACIONAL RENASCER COC,http://www.renascercoc.com.br/,Karen Bustamante,Sertãozinho,(16) 3945-0555,,COC (Arco),SP,1.0,,
40,5285538228,CENTRO EDUCACIONAL SANTA LUZ,https://www.coc.com.br/nossas-escolas/centro-educacional-santa-luz,Karen Bustamante,Guaíra,(17) 3331-5200,,COC (Arco),SP,1.0,,
41,5285540103,CENTRO EDUCACIONAL SÃO JOÃO EVANGELISTA,https://colegiosaojoaoevangelista.com.br/,Karen Bustamante,Teixeira de Freitas,(73) 3011-5063,,COC (Arco),BA,1.0,,
42,5285531179,CENTRO EDUCACIONAL SISTEMA MASTER,https://www.coc.com.br/nossas-escolas/centro-educacional-sistema-master,Guilherme Leite,E,-,Brazil,COC (Arco),BA,1.0,,
43,5285627635,CENTRO ELO,https://colegioelo.com.br/,Nicole Oliveira,Jaboatão dos Guararapes,(81) 3080-0101,,COC (Arco),PE,1.0,,
44,5285545149,COC - COLÉGIO SÃO PAULO,https://www.coc.com.br/nossas-escolas/coc-colegio-sao-paulo,Karen Bustamante,Aracaju,(79) 3218-3500,,COC (Arco),SE,1.0,,
45,5285636027,COC AMPARO,https://www.cocamparo.com.br/,Nicole Oliveira,Amparo,(19) 3938-3805,,COC (Arco),SP,1.0,,
46,5285520248,COC ARAPIRACA,https://www.facebook.com/pages/category/School/Col%C3%A9gio-COC-Arapiraca-111497103735401/,Karen Bustamante,Arapiraca,-,,COC (Arco),AL,1.0,,
47,5285524203,COC ARARAQUARA - CENTRO,https://www.cocararaquara.com.br/contato-unidade-centro/,Karen Bustamante,Araraquara,(16) 3461-3003,,COC (Arco),SP,1.0,,
48,5285627634,COC ARARAQUARA - MORUMBI,https://www.cocararaquara.com.br/contato-unidade-morumbi/,,Araraquara,-,,COC (Arco),SP,1.0,,
49,5285522187,COC ARAUCÁRIA,https://www.coc.com.br/nossas-escolas/coc-araucaria,Nicole Oliveira,Araucária,-,,COC (Arco),PR,1.0,,
50,5285524199,COC ATIBAIA,https://www.cocatibaia.com.br/,Nicole Oliveira,Atibaia,(11) 4413-1214,,COC (Arco),SP,1.0,,
51,5285517352,COC BALNEÁRIO,https://cocbalneario.com.br/,,Balneário Camboriú,(47) 3268-5366,,COC (Arco),SC,,,
52,5285629511,COC BERTIOGA,https://www.facebook.com/cocbertioga/,Karen Bustamante,INDAIA,-,,COC (Arco),SP,1.0,,
53,5285545151,COC JABOTICABAL,https://www.coc.com.br/nossas-escolas/coc-jaboticabal,Karen Bustamante,Jaboticabal,(16) 3202-1491,,COC (Arco),SP,1.0,,
54,5285666086,COC JAÚ,https://www.cocjau.com.br/,Nicole Oliveira,Jaú,(14) 3418-7779,,COC (Arco),SP,1.0,,
55,5285615677,COC BATATAIS,http://www.cocbatatais.com.br/,Karen Bustamante,Batatais,-,,COC (Arco),SP,1.0,,
56,5285531185,COC BAURU,https://www.coc.com.br/nossas-escolas/coc-bauru,Karen Bustamante,Santa Tereza,(14) 3104-6070,,COC (Arco),SP,1.0,,
57,5285549010,COC BLUMENAU,https://www.coc.com.br/nossas-escolas/coc-blumenau,Karen Bustamante,Blumenau,(47) 3513-1288,,COC (Arco),SC,1.0,,
58,5285629515,COC CALDAS NOVAS,https://coccaldas.com.br/,,Caldas Novas,(64) 3453-7533,,COC (Arco),GO,1.0,,
59,5285549012,COC COGNUS ARARAS,https://escolacognus.com.br/,,Araras,(19) 3542-1600,,COC (Arco),SP,1.0,,
60,5285528539,COC FLORIANÓPOLIS,https://www.cocflorianopolis.com.br/,Karen Bustamante,Florianópolis,-,,COC (Arco),SC,1.0,,
61,5285614436,COC FRANCA,http://www.cocfranca.com.br/,Karen Bustamante,Franca,(16) 3707-1000,,COC (Arco),SP,1.0,,
62,5285536873,COC GUANABARA,https://www.coc.com.br/nossas-escolas/todas/5,,Rio de Janeiro,-,,COC (Arco),RJ,1.0,,
63,5285522183,COC Ilha do Governador,https://www.facebook.com/cocilhadogovernador/,André Lopes,Rio de Janeiro,(21) 3393-8000,,COC (Arco),RJ,2.0,,
64,5285538224,COC PALMAS,http://cocpalmas.com.br/,Karen Bustamante,Palmas,(63) 3026-6760,,COC (Arco),TO,1.0,,
65,5285520250,COC PIRACICABA - EI/EF,https://www.coc.com.br/nossas-escolas/coc-piracicaba-ei-ef,Nicole Oliveira,Piracicaba,(19) 3417-2831,,COC (Arco),SP,1.0,,
66,5285553995,COC RIO DO SUL,https://cocriodosul.com.br/,Nicole Oliveira,Rio do Sul,(47) 3521-4231,,COC (Arco),SC,1.0,,
67,5285666091,COC SALTO,https://www.cocsalto.com.br/,Karen Bustamante,Salto,(11) 99227-4140,,COC (Arco),SP,1.0,,
68,5285517351,Cursinho Einstein/COC Botucatu,https://www.facebook.com/einsteinbotucatu/,Karen Bustamante,Botucatu,(14) 99735-7155,,COC (Arco),SP,1.0,,
69,5285524200,Monteiro Lobato - COC FRANCA,http://www.cocfranca.com.br/unidades.asp,,Franca,(16) 3707-1000,,COC (Arco),SP,1.0,,
70,5285553994,COC LAGES,https://coclages.com.br/,Nicole Oliveira,Lages,-,,COC (Arco),SC,1.0,,
71,5285545157,COC LAGO NORTE,https://www.coclagonorte.com.br/,Karen Bustamante,Brasília,(61) 3468-9000,,COC (Arco),DF,1.0,,
72,5285552695,COC LEME,https://cocleme.com.br/,Karen Bustamante,Leme,(19) 3573-3310,,COC (Arco),SP,1.0,,
73,5285540104,COC MARABÁ,https://pt-br.facebook.com/cocmaraba/,,Marabá,-,,COC (Arco),PA,1.0,,
74,5285553998,COC MATÃO EM,http://cocmatao.com.br/,Karen Bustamante,Matão,(16) 3383-7070,,COC (Arco),SP,1.0,,
75,5285629507,COC SÃO BERNARDO DO CAMPO,https://www.cocsbc.com.br/,,São Bernardo do Campo,(11) 4125-4700,,COC (Arco),SP,1.0,,
76,5285515719,COC SÃO JOÃO,https://www.coc.com.br/nossas-escolas/coc-sao-joao,Nicole Oliveira,São João da Boa Vista,(19) 3623-1523,,COC (Arco),SP,1.0,,
77,5285550539,COC SÃO JOSÉ DOS CAMPOS,https://www.cocsjc.com.br/,Nicole Oliveira,Centro,(12) 2134-9300,,COC (Arco),SP,1.0,,
78,5285636030,COC SÃO LOURENÇO,https://www.coc.com.br/nossas-escolas/coc-sao-lourenco,Nicole Oliveira,São Lourenço,(35) 3332-7301,,COC (Arco),MG,1.0,,
79,5285528535,COC SETOR NORTE,https://www.cocsetornorte.com.br/,Nicole Oliveira,Goiânia,(62) 99294-6540,,COC (Arco),GO,1.0,,
80,5285517341,COC SOLUÇÕES EDUCACIONAIS,https://www.coc.com.br/nossas-escolas/coc-solucoes-educacionais,,Araucária,(41) 3031-6565,,COC (Arco),PR,1.0,,
81,5285528536,COC UBERABA,https://www.cocuberaba.com.br/,,Uberaba,(34) 3333-4590,,COC (Arco),MG,1.0,,
82,5285534748,COC UNIVERSITARIO SANTOS,https://www.coc.com.br/nossas-escolas/coc-universitario-santos,,Santos,(13) 3229-1065,,COC (Arco),SP,1.0,,
83,5285520256,COG EDUCAÇÃO,https://pt-br.facebook.com/escolacognitivo/,,Marabá,(94) 3324-4833,,COC (Arco),PA,1.0,,
84,5285550551,COLÉGIO ACADÊMICO COC LIMEIRA,https://www.coc.com.br/nossas-escolas/colegio-academico-coc-limeira,Caroline Zilker,Limeira,(19) 3404-4720,,COC (Arco),SP,1.0,,
85,5285536874,COLÉGIO ÁGAPE VARGINHA,https://www.facebook.com/colegioagapedom/,Karen Bustamante,Varginha,-,,COC (Arco),MG,1.0,,
86,5284588280,COLÉGIO AGNUS DEI,https://www.colegioagnusdei.com/,Karen Bustamante,Rio Largo,(82) 3352-1097,,COC (Arco),AL,1.0,,
87,5285636034,COLÉGIO ALCANCE - EF,https://www.coc.com.br/nossas-escolas/colegio-alcance-ef,Karen Bustamante,Jacareí,(12) 3952-2190,,COC (Arco),SP,1.0,,
88,5285534745,COLÉGIO ALFA,https://alfacolegio.com.br/,Karen Bustamante,Duque de Caxias,(21) 2671-4730,,COC (Arco),RJ,1.0,,
89,5285636029,COLÉGIO ALPHA COC,https://www.coc.com.br/nossas-escolas/colegio-alpha-monte-carmelo,Karen Bustamante,Monte Carmelo,(34) 3842-4600,,COC (Arco),MG,1.0,,
90,5285627624,COLÉGIO ALPHA VIRADOURO,https://www.facebook.com/ColegioAlphaViradouro/,Karen Bustamante,Viradouro,(17) 3392-3938,,COC (Arco),SP,1.0,,
91,5285534741,COLÉGIO ANJO DA GUARDA,https://www.colegioanjodaguarda.com.br/,,Bebedouro,(17) 3342-3939,,COC (Arco),SP,,,
92,5285524210,COLÉGIO ANTONIO CRUZ,https://www.coc.com.br/nossas-escolas/colegio-antonio-cruz,,Paramirim,-,,COC (Arco),BA,,,
93,5285533392,COLÉGIO ASTER,https://www.coc.com.br/nossas-escolas/colegio-aster,Karen Bustamante,Balneário Camboriú,(47) 3367-5364,,COC (Arco),SC,1.0,,
94,5285615678,COLÉGIO ATENA,https://www.coc.com.br/nossas-escolas/colegio-atena,Karen Bustamante,Araxá,(34) 3662-6100,,COC (Arco),MG,1.0,,
95,5285554006,COLÉGIO ÁTOMO - EM,https://www.colatomo.com.br/,Karen Bustamante,Presidente Prudente,(18) 3908-4844,,COC (Arco),SP,1.0,,
96,5285541965,COLEGIO BATISTA ,https://pt-br.facebook.com/Colegiobatistaitacare,Karen Bustamante,Itacaré,(73) 3251-3439,,COC (Arco),BA,1.0,,
