company_id,name,sistema_de_ensino_encontrado,company_domain_name,company_owner,city,telefone,country/region,sistema_de_ensino,state/region
5285546870,COLÉGIO CIDADE DE CARANGOLA,,https://querobolsa.com.br/escolas/colegio-cidade-de-carangola,,Carangola,-,,COC (Arco),MG
5285549011,COLÉGIO CIDADE NOVA MATRIZ,,http://www.cedemi.com.br/,,Cidade Nova IV,-,,COC (Arco),PA
5285614426,COLÉGIO CONHECER,,https://colegioconhecer.com/,Karen Bustamante,São Mateus,(27) 3763-1142,,COC (Arco),ES
5285538215,COLÉGIO COSTA AGUIAR,,https://colegiocostaaguiar.com.br/,Karen Bustamante,São Paulo,(11) 2721-5720,,COC (Arco),SP
5285627627,COLÉGIO COSTA AGUIAR ARICANDUVA,,https://colegiocostaaguiar.com.br/,,São Paulo,(11) 2721-5720,,COC (Arco),SP
5285545154,COLÉGIO COSTA AGUIAR BABY,,https://colegiocostaaguiar.com.br/,,São Paulo,(11) 2093-8444,,COC (Arco),SP
5285515717,COLÉGIO DELOS,,https://colegiodelos.com/,,Aparecida de Goiânia,(62) 3288-5770,,COC (Arco),GO
5285629508,COLÉGIO DELTA,,http://deltamuzambinho.com.br/,,Muzambinho,(35) 3571-1747,,COC (Arco),MG
5285536877,COLÉGIO DIOCESANO,,http://colegiodiocesano.com.br/,,Itumbiara,(64) 3431-2643,,COC (Arco),GO
5285666084,COLÉGIO EDUCAR ACREÚNA,,https://www.facebook.com/educaracreuna/,Karen Bustamante,Acreúna,(64) 3645-1143,,COC (Arco),GO
5285520259,COLÉGIO ELO,,https://colegioelo.com.br/,Karen Bustamante,Recife,(81) 3134-9494,,COC (Arco),PE
5285636028,COLÉGIO DIOCESANO LA SALLE,,https://lasalle.edu.br/saocarlos,,São Carlos,(16) 2107-5100,,COC (Arco),SP
5285536878,COLEGIO DIVINO SALVADOR JUNDIAÍ,,https://divinojundiai.com.br/,Nicole Oliveira,Jundiaí,(11) 4588-1365,,COC (Arco),SP
5285614431,COLÉGIO DOM BOSCO,,http://www.cocguariba.com.br/cocguariba/,Nicole Oliveira,Guariba,(16) 3251-8711,,COC (Arco),SP
5285536876,COLÉGIO DOM PEDRO,,https://www.dompedro.g12.br/,Karen Bustamante,Taboão da Serra,(11) 4137-8206,,COC (Arco),SP
5285552697,COLÉGIO EDUCAR,,https://www.educamaisbrasil.com.br/escolas/colegio-educar-de-miguelopolis,Karen Bustamante,Miguelópolis,-,,COC (Arco),SP
5285549005,COLÉGIO EQUIPE GRAU - NILÓPOLIS,,http://equipegrau.com.br/,Karen Bustamante,Nilópolis,(21) 2691-6296,,COC (Arco),RJ
5285534749,COLÉGIO EQUIPE GRAU - SEC,,http://equipegrau.com.br/,Karen Bustamante,Nova Iguaçu,(21) 3776-0561,,COC (Arco),RJ
5285546859,COLÉGIO ESPU,,http://colegioespucoc.com.br/,,Brasília,(61) 3562-8402,,COC (Arco),DF
5285533390,COLÉGIO EUCLIDES DA CUNHA,,https://www.educamaisbrasil.com.br/escolas/colegio-euclides-da-cunha-flamenguinho,,Cantagalo,(22) 2555-4166,,COC (Arco),RJ
5284588290,COLÉGIO EUCLIDES DA CUNHA,,https://www.colegioeuclides.com.br/,,Ilha Solteira,(18) 3742-2619,,COC (Arco),SP
5285534737,COLÉGIO EXATHUM - UNIDADE CENTRO,,https://www.exathum.com.br/,,Joinville,(47) 3433-9300,,COC (Arco),SC
5285636035,COLÉGIO EXCELÊNCIA ARIQUEMES,,http://www.colegioexcelenciaro.com.br/,,Ariquemes,(69) 98455-1924,,COC (Arco),RO
5285531173,COLÉGIO ENSINE ARAGUAÍNA,,https://afnoticias.com.br/com-educacao-financeira-colegio-de-araguaina-ensina-alunos-a-manter-equilibrio-dos-gastos,,Araguaína,(63) 3413-0500,,COC (Arco),TO
5285545158,COLÉGIO FAG COC,,https://www.colegiofag.com.br/,,FAG,-,,COC (Arco),PR
5285524209,COLÉGIO FATO,,https://colegiofato.com/,,Cuiabá,-,,COC (Arco),MT
5285515714,COLÉGIO GARDNER,,http://colegiogardner.com.br/,,São José,(48) 3259-0167,,COC (Arco),SC
5285538218,COLÉGIO GENESIS RESENDE,,https://www.educamaisbrasil.com.br/escolas/colegio-genesis-de-resende,,Resende,-,,COC (Arco),RJ
5285533393,COLÉGIO GERAÇÃO VALPARAÍSO,,https://erp.education1.com.br/gv/resp20,,Valparaíso,(18) 3401-1065,,COC (Arco),SP
5285552703,COLÉGIO JP,,http://www.jpcentro.com.br/,,Presidente Prudente,(18) 3906-3296,,COC (Arco),SP
5285546864,COLÉGIO ÍCONE,,https://colegioicone.com.br/,,Montes Claros,(38) 3212-1168,,COC (Arco),MG
5285538212,COLÉGIO IMPACTO PORANGATU,,https://impactoporangatu.com.br/,,Centro,(62) 3362-1465,,COC (Arco),GO
5285554001,COLÉGIO INTEGRADO SÃO FRANCISCO,,http://sfrancisco.com.br/,,Mogi Guaçu,(19) 3841-6405,,COC (Arco),SP
5285533385,COLÉGIO INTERATIVO DE CRUZEIRO,,https://www.educamaisbrasil.com.br/escolas/colegio-interativo-de-cruzeiro-coc-sistema-de-ensino,,Cruzeiro,(12) 3966-1187,,COC (Arco),SP
5285528549,COLÉGIO IREI,,http://www.ireieducar.com.br/,,São Paulo,-,,COC (Arco),SP
5285545161,COLÉGIO LANTAGI,,https://lantagi.com.br/,,Registro,(13) 3821-2163,,COC (Arco),SP
5285515708,COLÉGIO MALTA,,https://pt-br.facebook.com/Col%C3%A9gio-Malta-2167564579937444/,Karen Bustamante,Lagoa da Prata,(37) 3261-5849,,COC (Arco),MG
5285552696,COLÉGIO JR,,http://colegiojr.com.br/,,Santa Maria da Vitória,(77) 3483-2610,,COC (Arco),BA
5285541962,COLÉGIO LA SALLE DE BOTUCATU,,https://lasalle.edu.br/botucatu,Karen Bustamante,Botucatu,(14) 3811-2700,,COC (Arco),SP
5285636020,COLÉGIO MASTERBABY VOTORANTIM,,http://www.colegiomasterbaby.com.br/,,Votorantim,-,,COC (Arco),SP
5285615675,COLÉGIO MONTEIRO LOBATO PATROCÍNIO,,https://pt-br.facebook.com/colegiomonteirolobatopatrociniomg,Karen Bustamante,Patrocínio,(34) 3831-4745,,COC (Arco),MG
5285534738,COLÉGIO MONTEIRO LOBATO PERUÍBE,,https://colegiomlobatococ.com.br/,,Peruíbe,(13) 3455-7560,,COC (Arco),SP
5285538214,COLÉGIO MASTER BESSA,,http://colegiomasterbessa.com.br/,,João Pessoa,(83) 3021-1222,,COC (Arco),PB
5285540089,COLÉGIO NAHIM AHMAD,,https://colegioahmad.com.br/,,Guarulhos,(11) 2440-1800,,COC (Arco),SP
5285546873,COLÉGIO NOVA ESTRELA GUIA,,http://www.escolanovaestrelaguia.com.br/,,Itaquera,(11) 2944-4301,,COC (Arco),SP
5285627630,COLÉGIO NOVO IDEAL,,http://www.colegionovoideal.com.br/,,São Paulo,(11) 2640-7206,,COC (Arco),SP
5285522192,COLÉGIO PALLAS ATHENA,,https://pt-br.facebook.com/ColegioPallasAthena,,Guapiaçu,(17) 3267-1097,,COC (Arco),SP
5284588276,COLÉGIO PAULA FRASSINETTI,,https://colegiopaulafrassinetti.com.br/,,São Sebastião do Paraíso,(35) 3531-1797,,COC (Arco),MG
5285541974,COLÉGIO FEC,,https://www.facebook.com/feccoxim/,,Coxim,(67) 3291-4691,,COC (Arco),MS
5285552693,COLÉGIO OMEGA GOIÁS,,http://www.colegiomegapls.com.br/,,Palmeiras de Goiás,(64) 3571-1556,,COC (Arco),GO
5285534739,COLÉGIO OPÇÃO,,https://copcao.com.br/,,Niterói,(21) 2625-5839,,COC (Arco),RJ
5285666090,COLEGIO OPCAO,,http://colegioopcao.com/,,Vitória da Conquista,-,,COC (Arco),BA
5285636023,COLÉGIO OSVALDO CRUZ,,https://pt-br.facebook.com/pages/category/Private-School/Col%C3%A9gio-Osvaldo-CRUZ-136536669841748/,,Tucuruí,(94) 98134-3192,,COC (Arco),PA
5285629509,COLÉGIO PROFA. YEDA MARIA,,http://www.colegioyedamaria.com.br/,,Guarujá,(13) 3386-7390,,COC (Arco),SP
5285517346,COLÉGIO PRÓUNI,,https://colegioprouni.com.br/,,Campos dos Goytacazes,(22) 2733-4104,,COC (Arco),RJ
5285636033,COLÉGIO REFERENCE,,https://www.facebook.com/colegioreference/,,Laranjeiras do Sul,(42) 99921-0857,,COC (Arco),PR
5285515706,COLÉGIO SANTA TERESINHA,,https://santateresinhacolegio.com.br/,,Formiga,(37) 3322-1366,,COC (Arco),MG
5285533394,COLÉGIO SANTO ANTÔNIO,,https://www.santoantonioinesa.com.br/,,Valparaíso de Goiás,(61) 3627-3516,,COC (Arco),GO
5285524196,COC PASSOS,,http://cocpassos.com.br/,,Passos,-,,COC (Arco),MG
5285615669,COLÉGIO JOSÉ ROMÃO,,https://pt-br.facebook.com/c.joseromao/,,Sobral,(88) 3614-2301,,COC (Arco),CE
5285536869,COLÉGIO SÃO JOÃO EVANGELISTA,,https://csje.com.br/,,Itamaraju,(73) 3294-1009,,COC (Arco),BA
5285522181,COLÉGIO SINERGIA,,https://www.sinergia.edu.br/,,Navegantes,(47) 3342-9700,,COC (Arco),SC
5285541968,COLÉGIO SINODAL PROGRESSO,,https://www.sinodalprogresso.com.br/cursos-tecnicos,Karen Bustamante,Montenegro,(51) 3057-2318,,COC (Arco),RS
5285629510,COLÉGIO TOP GUN MATRIZ,,https://www.facebook.com/ColegioTopGun/,,São José dos Pinhais,(41) 3096-3344,,COC (Arco),PR
