place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino
ChIJ44lcEgAZqwcRgpLHKmV05RU,Colégio Santa Luisa de Marillac Educação Infantil,"R. Leonardo Bezerra Cavalcante, 116 - Parnamirim, Recife - PE, 52060-030, Brazil",,(81) 3442-4384,26170507,"RECIFE
 ",http://qedu.org.br/escola/97215-colegio-santa-luisa-de-marillac/censo-escolar,
ChIJwSl_dwoZqwcRUE21JoEuxYE,Colegio Murakami - Tempo Integral em Recife,"Estr. do Arraial, 3460 - Tamarineira, Recife - PE, 52070-230, Brazil",http://colegiomurakami.com.br/,(81) 3128-0101,26187310,"RECIFE
 ",https://qedu.org.br/escola/287792-colegio-carlos-murakami/sobre,
ChIJcy6LzQUZqwcRto0fgplT-tg,Eminent College - Unit 2,"R. Samuel de Farias, 310 - Casa Forte, Recife - PE, 52060-430, Brazil",http://colegioeximius.com.br/,(81) 3268-1554,26156202,"RECIFE
 ",http://www.qedu.org.br/escola/87988-md-educacional-colegio-madre-de-deus-unidade-ii/sobre,Bilíngue;Ari de Sá
ChIJDZlJdKoZqwcRDYmPOC1M0qY,Baby Mel - Berçário e Hotelzinho,"R. Virgínia Lorêto, 96 - Parnamirim, Recife - PE, 52060-370, Brazil",,(81) 3441-3560,26125242,"RECIFE
 ",http://www.qedu.org.br/escola/86491-primeiro-passo-ctro-de-edc-infant-ltda/sobre,
ChIJxY_HJggZqwcRJlAMPgB85ig,NAP,"Praça de Casa Forte, 52 - Casa Forte, Recife - PE, 52061-080, Brazil",http://www.colegionap.com.br/,3441-3788,26162032,"RECIFE
 ",http://www.qedu.org.br/escola/90107-colegio-nap-nucleo-de-acao-pedagogica/sobre,
ChIJ0bBtzbUZqwcRMz_eQvE8qcc,School Silva Oliveira,"Ladeira do Bartolomeu, 12 - Morro da Conceição, Recife - PE, 52280-060, Brazil",http://www.escolasilvaoliveira.com/,(81) 3268-7883,26445727,"RECIFE
 ",http://qedu.org.br/escola/87757-escola-silva-oliveira/sobre,
ChIJ57oAtxcZqwcRl3qTJZU1jko,Colégio Exato Recife,"R. Padre Antônio Fernandes, 102 - Cordeiro, Recife - PE, 50630-010, Brazil",,(81) 3039-3344,35135057,"SÃO PAULO
 ",http://www.qedu.org.br/escola/184980-colegio-exato/sobre,
ChIJI2CDH7sZqwcREAZJXf-b7yw,Colégio e Curso Atitude,"R. Dr. Tomé Dias, 75a - Casa Amarela, Recife - PE, 52070-381, Brazil",,(81) 3269-1601,26128829,"RECIFE
 ",http://qedu.org.br/escola/98306-90-graus-colegio-e-curso/censo-escolar,
ChIJI1M1pHsZqwcR8FNGIuSbOWA,Colégio e Curso Desafio,"R. Prof. Antônio Coelho, 70 - Várzea, Recife - PE, 50740-020, Brazil",http://www.colegioecursodesafio.com.br/,(81) 3274-5010,26450720,"RECIFE
 ",http://www.qedu.org.br/escola/95676-colegio-e-curso-desafio-centro-educacional-da-iputinga/sobre,
ChIJ6-t-ogoZqwcRRsNxtpfhWd0,Instituto Anna Luisa,"Rua Janiro Pontes, 10 - Iputinga, Recife - PE, 50680-520, Brazil",https://m.facebook.com/profile.php?ref=bookmarks,(81) 3453-0797,26408635,"RECIFE
 ",https://qedu.org.br/escola/98210-instituto-anna-luisa/censo-escolar,
ChIJNa5Z4rwZqwcR8-1OA-54N2g,escola mauricio de nassau,"Av. Dr. Euríco Chaves, 677 - Casa Amarela, Recife - PE, 52071-250, Brazil",,(81) 3223-4580,26126672,"RECIFE
 ",http://qedu.org.br/escola/91079-em-mauricio-de-nassau/censo-escolar,
ChIJmwLEb6kZqwcR3u9GTzpsd9U,escola estadual jose vilela,"Estr. do Encanamento, 277 - Casa Forte, Recife - PE, 52060-210, Brazil",,(81) 3181-2819,26125641,"RECIFE
 ",http://qedu.org.br/escola/85524-escola-de-referencia-em-ensino-medio-jose-vilela/sobre,
ChIJJY7t-6wZqwcRDiiFjU_qdeA,Colégio Reino Mágico,"Estr. do Arraial, 2949 - Parnamirim, Recife - PE, 52051-380, Brazil",http://www.colegioreinomagico.com.br,(81) 3268-1426,26125595,"RECIFE
 ",http://qedu.org.br/escola/93296-centro-de-cultura-infantil-reino-magico/censo-escolar,
ChIJAUFd9RcZqwcRZenWyGbLl94,Colégio CFI,"Av. Caxangá, 460 - Madalena, Recife - PE, 50711-000, Brazil",http://colegiocfi.com.br/,(81) 3226-9499,26180200,"RECIFE
 ",http://www.qedu.org.br/escola/97790-cfi-colegio-de-formacao-integral/censo-escolar,
ChIJ06W1HOIYqwcRsU0e75TGfS0,Colégio Equipe,"Rua Demóstenes Olinda, 121 - Madalena, Recife - PE, 50610-050, Brazil",http://equipe-recife.com.br/,(81) 3445-3255,26118165,"RECIFE
 ",http://qedu.org.br/escola/86335-colegio-equipe/sobre,
ChIJ7YIzzhwZqwcRLlOgKwyAhd0,Escola Despertar,"R. Real da Torre, 1645 - Torre, Recife - PE, 50710-100, Brazil",https://www.escoladespertarpe.com.br/,(81) 3446-5251,26474727,"RECIFE
 ",http://www.qedu.org.br/escola/95784-escola-despertar/sobre,
ChIJjTmE9aUZqwcRd3MiaUp-j6E,BEM Curso Preparatório - Unidade I / Casa Forte,"Estrada das Ubaias, 20 - sala 203 - Casa Amarela, Recife - PE, 52070-013, Brazil",https://www.bembancadeestudos.com.br/,(81) 99158-3670,26166976,"RECIFE
 ",https://www.qedu.org.br/escola/95066-colegio-casaforte/censo-escolar,
ChIJr_2m1K4ZqwcRtFl2AOR3qoU,centro de reabilitacao e educacao especial,"Rua Conselheiro Nabuco - Casa Amarela, Recife - PE, 52051-420, Brazil",,(81) 3223-4578,26133753,"GARANHUNS
 ",http://www.qedu.org.br/escola/88543-centro-de-reab-e-educacao-especial-lions-club/sobre,
ChIJg3QM-q4ZqwcRQflS0B6ccSE,School Kids Planet,"Rua da Harmonia, 553 - Casa Amarela, Recife - PE, 52051-390, Brazil",https://www.instagram.com/escolaplanetakids/,(81) 3441-8764,26492741,"RECIFE
 ",https://www.qedu.org.br/escola/95516-escola-planeta-kids/censo-escolar,Anglo
ChIJQ1M7ru8ZqwcRVK0qfZ7e928,School Our Lady of Conception,"R. da Democracia - Córrego do Genipapo, Recife - PE, 52091-025, Brazil",,(81) 3268-1204,26139618,"RECIFE
 ",http://www.qedu.org.br/escola/90264-colegio-militar-do-recife/censo-escolar,
ChIJS5RgPgQZqwcRa3VSVGOh2ic,Creche-Escola Recife Menino Jesus De Casa Forte,"R. Samuel Farias, 127 - Santana, Recife - PE, 52060-430, Brazil",,(81) 99433-7245,26149338,"RECIFE
 ",http://www.qedu.org.br/escola/91913-creche-beneficente-menino-jesus-de-casa-forte/sobre,
