place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJA-jcAbt5GZURVqSTGekjC5w,Colégio Batista,"001, Av. Cristóvão Colombo, 1098 - Floresta, Porto Alegre - RS, Brazil",http://colegiobatista.org.br/,(51) 2136-5200,43104940,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/257511-colegio-batista/censo-escolar,,,
ChIJUZvIpyt4GZURscrwcWbDj9I,Curso Peristroica,"Rua Furriel Luíz Antônio de Vargas, 250 - Bela Vista, Porto Alegre - RS, 91787-213, Brazil",,(51) 3061-5564,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJiSAGpc15GZUR8TeZLqUqssA,Colégio Lumiar Porto Alegre,"R. Dr. Freire Alemão, 366 - Mont'Serrat, Porto Alegre - RS, 90450-060, Brazil",https://lumiar.co/,(51) 99276-1070,43114946,"PORTO ALEGRE
 ",http://qedu.org.br/escola/283790-escola-de-ensino-fundamental-lumiar/sobre,,,
ChIJb_egODZ4GZURNR_FDm1ztpY,EARLY CHILDHOOD EDUCATION SCHOOL Pirlimpimpim,"Rua Professor Álvaro Alvim, 310 - Rio Branco, Porto Alegre - RS, 90420-020, Brazil",http://www.pirlimpimpimpoa.com.br/,(51) 3388-5901,43107036,"PORTO ALEGRE
 ",http://qedu.org.br/escola/234069-eeef-porto-alegre/censo-escolar,,,
ChIJ-4GxDDl4GZURgluynoWZn0s,Colégio Vicentino Santa Cecília,"R. Vicente da Fontoura, 2234 - Santa Cecilia, Porto Alegre - RS, 90640-002, Brazil",http://www.colegiosantacecilia.com.br/,(51) 3316-1000,43107389,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/220440-colegio-vicentino-santa-cecilia/censo-escolar,,,
ChIJmRZnB-t5GZURiSAqLsGvg4g,Instituto São Francisco • Santa Família,"Av. Pará, 833 - Navegantes, Porto Alegre - RS, 90240-591, Brazil",https://redesf.com.br/santa-familia/,(51) 3342-9797,43107451,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/220448-instituto-sao-francisco-santa-familia/sobre,,,
ChIJ_5aKDtx5GZURe3mww_NL4QI,Sociedade Porvir Científico,"R. Honório Silveira Dias, 630 - São João, Porto Alegre - RS, 90550-150, Brazil",,(51) 3337-2011,43105009,"PORTO ALEGRE
 ",http://qedu.org.br/escola/254434-colegio-militar-de-porto-alegre/censo-escolar,,,
ChIJ0duITqV5GZURrwOisHefNEA,Escola de Educação Infantil Canto dos Anjos,"R. Pelotas, nº 444 - Floresta, Porto Alegre - RS, 90220-110, Brazil",http://facebook.com/escolacantodosanjos,(51) 3228-0767,43367356,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257735-5195-iei-anjo-das-flores/sobre,,,
ChIJucglKJN3GZURy49inKfTqoI,Pan American School of Porto Alegre,"Av. João Obino, 110 - Petrópolis, Porto Alegre - RS, 90470-150, Brazil",http://www.panamerican.com.br/,(51) 3334-5866,43107524,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218865-colegio-metodista-americano/censo-escolar,,,
ChIJNbRwt7h5GZUR_cOq50cZiOQ,Escola de Educação Infantil Lápis de Cor,"Av. Pernambuco, 2808 - Navegantes, Porto Alegre - RS, 90240-001, Brazil",http://facebook.com/infantillapisdecor/,(51) 99336-1111,35482432,"JACAREÍ
 ",http://www.qedu.org.br/escola/269103-lapis-de-cor-escola-de-educacao-infantil/sobre,,,
ChIJgewM2YN3GZUR-RbjGgURyuY,Monteiro Lobato School,"Rua Salõmão Dubin, 200 - Boa Vista, Porto Alegre - RS, 91340-450, Brazil",http://www.colegiomonteirolobato.com.br/,(51) 3328-5035,43109330,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/257975-eeb-colegio-monteiro-lobato/sobre,,,
ChIJ0S3lcGF3GZURP2yKzog0vHM,Associação Cristã de Moços de Porto Alegre,"R. Santa Catarina, 105 - Santa Maria Goretti, Porto Alegre - RS, 91030-330, Brazil",,(51) 3341-7265,43108130,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218900-colegio-acm-centro/sobre,,,
ChIJp3uQtc55GZURUM_P3gn3rvY,Children's House Our Lady Help,"R. Felipe Neri, 78 - Auxiliadora, Porto Alegre - RS, 90440-150, Brazil",,(51) 3332-9521,43105114,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218884-colegio-sao-judas-tadeu/sobre,,,
ChIJ1a09B8Z5GZUR3GQcGvtb37M,Cinco Estrelinhas Escola de Educação Infantil,"Av. Nova York, 335 - Auxiliadora, Porto Alegre - RS, 90550-070, Brazil",http://www.cincoestrelinhas.com.br/,(51) 3024-6434,43210392,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/234161-eei-cinco-estrelinhas/sobre,,,
ChIJ6YDSyM15GZURjtXhRm52rUs,Piratini State School,"Rua Eudoro Berlink, 632 - Auxiliadora, Porto Alegre - RS, 90450-030, Brazil",,(51) 3332-4612,43108024,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/233169-colegio-estadual-piratini/sobre,,,
ChIJsV0aL7Z5GZUR7zaDCei6ta8,Aulas Particulares-Preparação para o Vestibular,"R. 24 de Outubro, 1100 - Independência, Porto Alegre - RS, 90510-002, Brazil",,(51) 3346-4393,, Porto Alegre ,,,,
ChIJtUHl-U55GZURgyCxyn4ehxk,Colégio Dom Bosco,"R. Dr. Eduardo Chartier, 360 - Passo d'Areia, Porto Alegre - RS, 90520-100, Brazil",,,43107370,"PORTO ALEGRE
 ",http://qedu.org.br/escola/220439-colegio-salesiano-dom-bosco/sobre,,,
ChIJQ7lvbFl4GZURXnPNQQWdPeE,Colégio Nossa Senhora de Lourdes,"R. Marcílio Dias, 1201 - Menino Deus, Porto Alegre - RS, 90130-000, Brazil",http://www.cnsl.com.br/,(51) 3223-1285,31054071,"GOVERNADOR VALADARES
 ",http://www.qedu.org.br/escola/138412-colegio-nossa-senhora-de-lourdes/sobre,COC (Arco),,
ChIJp7uMjDd4GZUR05qRISiYFYw,CIB - Colégio Israelita Brasileiro,"Av. Protásio Alves, 943 - Santa Cecilia, Porto Alegre - RS, 90410-000, Brazil",http://www.colegioisraelita.com.br/,(51) 3331-3933,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJ0-V4irF5GZURKOLESUNgE58,Por Disciplina - Centro de Estudos,"Av. Independência, 1159 / 201 - Independência, Porto Alegre - RS, 90035-077, Brazil",,(51) 3227-3555,43107494,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218863-centro-de-ensino-medio-pastor-dohms-unidade-de-ensino-higienopolis/censo-escolar,,,
ChIJvVVW1393GZURWPDRpdeFPXY,Escola Waldorf Candeia,"Av. Eng. Alfredo Corrêa Daudt, 290 - Boa Vista, Porto Alegre - RS, 90480-120, Brazil",http://www.facebook.com.br/EscolaCandeia,(51) 4061-6416,43105734,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/256126-colegio-santa-doroteia/censo-escolar,,Sim,
ChIJH2iV5qh5GZURme4RIZ6BsyQ,Píon Educacional,"Av. Independência, 383 - Sala 206 - Independência, Porto Alegre - RS, 90035-074, Brazil",,(51) 3264-2530,43104983,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/255309-colegio-israelita-brasileiro/sobre,,,
ChIJ0bHsZ8R5GZURkeSAY3v8gI8,Escola Pró-saber,"R. Filadélfia, 106 - Higienópolis, Porto Alegre - RS, 90550-060, Brazil",http://www.escolaprosaber.com.br/,(51) 3343-6800,43249612,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/254908-sociedade-mantenedora-pro-saber-ltda/censo-escolar,,,
