,deal_id,inep,deal_name,dominio,telefone,link_qedu,cidade,time_que_vai_atacar/está_atacando_a_lead,sistema_de_ensino,nível_de_crença,qualificação_socioeconômica,dominio_(url_do_site_da_escola),associated_company_id,associated_company,cidade_encontrada
281,2008111795,26020939,Colegio Da Imaculada Conceicao,https://www.instagram.com/cic.serratalhada/?hl=pt-br,(87) 99996-8944,http://www.qedu.org.br/escola/82602-colegio-da-imaculada-conceicao/sobre,Serra Talhada,Conquista,,D. Para puxar,C/D,,3886912563,Colegio Da Imaculada Conceicao,"SERRA TALHADA
 "
282,1442722100,33046522,Instituto de Educação Galileu Galilei | RJ,https://iegg.com.br/,(21) 2547-7073,http://www.qedu.org.br/escola/176447-ciep-314-galileu-galilei/censo-escolar,Rio de Janeiro,,,E. Orbitando,A/B,,2835429604,Instituto de Educação Galileu Galilei,"BELFORD ROXO
 "
283,1442729124,41377117,Colégio Monjolo,https://www.colegiomonjolo.com.br/,(45) 3520-1915,http://www.qedu.org.br/escola/222546-colegio-monjolo-educacao-infantil-ensino-fundamental-e-medio/sobre,Foz do Iguaçu,,,,C/D,,2835210862,Colégio Monjolo,"FOZ DO IGUAÇU
 "
284,1442735741,28015010,Colégio Nossa Senhora de Fátima Sergipe,https://pt-br.facebook.com/colegionsfatima,(79) 3272-1404,http://qedu.org.br/escola/102096-colegio-nossa-senhora-de-fatima/censo-escolar,Japaratuba,,,X. Churn,C/D,,2835420457,Colégio Nossa Senhora de Fátima Sergipe,"JAPARATUBA
 "
285,1442735578,35439915,Exito Instituto de Educação,https://pt-br.facebook.com/exitoinstituto,(11) 2087-4830,http://qedu.org.br/escola/214936-ie-exito/sobre,Guarulhos,,,X. Churn,C/D,,2835452924,Exito Instituto de Educação,"GUARULHOS
 "
286,2391064661,26185539,Colégio Espaço Educativo,https://pt-br.facebook.com/pages/category/Private-School/Col%C3%A9gio-Espa%C3%A7o-Educativo-398216236968002/,(81) 3723-3972,https://www.qedu.org.br/escola/283066-colegio-espaco-educativo/sobre,Caruaru,,,,C/D,,4140252784,Colégio Espaço Educativo,"CARUARU
 "
287,2750105338,35185607,Centro Educacional Lemense,https://www.educamaisbrasil.com.br/escolas/lemense-centro-educacional,(19) 3571-0701,http://www.qedu.org.br/escola/189489-ce-lemense/sobre,Leme,,,X. Churn,C/D,,4271133468,Centro Educacional Lemense,"LEME
 "
288,2461398902,26075610,Colégio Santa Joana D'Arc,https://colegiosantajoanadarc.blogspot.com/,(87) 3761-6568,http://www.qedu.org.br/escola/96937-colegio-santa-joana-darc-ltda/sobre,Garanhuns,,,,A/B,,4201836494,Colégio Santa Joana D'Arc,"GARANHUNS
 "
289,1442735634,35168543,Colégio Marconi,https://www.colegiomarconi.com.br/,(11) 2088-4188,https://www.qedu.org.br/escola/199450-colegio-guglielmo-marconi/censo-escolar,São paulo,,,E. Orbitando,A/B,,2835473656,Colégio Marconi,"GUARULHOS
 "
290,1447075768,35109162,Externato Santo Antonio,https://www.externato.com.br/,(11) 4227-9999,https://qedu.org.br/escola/197826-externato-santo-antonio/sobre,São Paulo,Conquista,,,A/B,,2835439245,Externato Santo Antonio,"SÃO CAETANO DO SUL
 "
291,5102563595,52095940,Colégio Educador,https://colegioeducador.com.br/,(64) 3453-7111,https://www.qedu.org.br/escola/263949-colegio-educador/sobre,Caldas Novas,Conquista,,,A/B,,2835429792,Colégio Educador,"CALDAS NOVAS
 "
292,2462199453,33008213,CEFA - Centro Educacional Feliciano Azevedo - RJ,https://pt-br.facebook.com/vemprocefa/,(22) 2723-0882,http://qedu.org.br/escola/173999-ce-feliciano-azevedo/sobre,Campos dos Goytacazes,,,,,,4199169266,CEFA - Centro Educacional Feliciano Azevedo - RJ,"CAMPOS DOS GOYTACAZES
 "
293,2634361327,33162603,Colégio Força Máxima,https://www.colegioforcamaxima.com.br/,-,http://qedu.org.br/escola/267102-colegio-futuro-vip-pilares/sobre,Rio de Janeiro,Conquista,,D. Para puxar,A/B,,4225743203,Colégio Força Máxima,"RIO DE JANEIRO
 "
294,2461408494,35513672,Colégio Origem,https://www.origemcolegio.com.br/home,(15) 3500-8896,http://www.qedu.org.br/escola/273631-anglo-cerquilho-colegio/sobre,Cerquilho,,,D. Para puxar,A/B,,4203213613,Colégio Origem,"CERQUILHO
 "
295,2731034559,31246051,COLÉGIO DONA CLARA,https://www.donaclara.com.br/,(31) 3497-6919,http://www.qedu.org.br/escola/160889-colegio-dona-clara/sobre,Belo Horizonte,FV,,E. Orbitando,Premium,,4242999902,Colégio Dona Clara,"BELO HORIZONTE
 "
296,2388354842,41155343,Colégio COC Araucária,https://cocaraucaria.com.br/,(41) 3031-6565,http://www.qedu.org.br/escola/280211-colegio-coc-araucaria/sobre,Araucária,,,D. Para puxar,A/B,,4160445229,Colégio COC Araucária,"ARAUCÁRIA
 "
297,2461361021,43037682,Colegio La Salle,https://lasalle.edu.br/canoas,(51) 3476-8774,http://www.qedu.org.br/escola/257308-colegio-la-salle/sobre,Canoas,,,D. Para puxar,Premium,,4201936254,Colegio La Salle,"CANOAS
 "
298,2654536917,33126000,Ce Olivia Lima E Jd De Inf Mirim Ltda,http://www.qedu.org.br/escola/178239-ce-olivia-lima-e-jd-de-inf-mirim-ltda/sobre,(21) 2617-9108,http://www.qedu.org.br/escola/178239-ce-olivia-lima-e-jd-de-inf-mirim-ltda/sobre,São Gonçalo,,,,C/D,,4229934316,Ce Olivia Lima E Jd De Inf Mirim Ltda,"SÃO GONÇALO
 "
