place_id,name,formatted_address,website,formatted_phone_number,Inep,city,qedu_url,Sistema de Ensino,Escola é Bilíngue?,Comunidade que a escola pertence
ChIJo4vO2Rl5GZURJ16wahVolps,Sociedade Educacional do Rio Grande do Sul,"R. Duque de Caxias, 1443 - Centro Histórico, Porto Alegre - RS, 91370-020, Brazil",,(51) 3085-7285,43175490,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/220122-escola-ens-med-sociedade-educacional-monteiro-lobato/censo-escolar,,,
ChIJqXH9Mql5GZURcsz2hJADi7A,Tenho Aula,"Rua Tomaz Flores, 95 - sala 303/304 - Bom Fim, Porto Alegre - RS, 90035-201, Brazil",http://www.tenhoaula.com/,(51) 98517-9633,43107419,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/258495-colegio-mae-de-deus/censo-escolar,,,
ChIJve923LR5GZURpbeoLeuQRAY,Escola Educação Infantil Balão Azul - FILIAL,"R. Castro Alves, 711 - Independência, Porto Alegre - RS, 90430-131, Brazil",http://www.balaoazulpoa.com.br/,(51) 3414-1367,31309923,"DIVINÓPOLIS
 ",https://www.qedu.org.br/escola/146206-educacao-infantil-recreacao-balao-azul/censo-escolar,,Sim,
ChIJsW_8cRB5GZURyBrSq7jQ6b0,College La Salle Dores,"R. Riachuelo, 800 - Centro Histórico, Porto Alegre - RS, 90010-272, Brazil",http://lasalle.edu.br/dores/,(51) 3213-9600,43105033,"PORTO ALEGRE
 ",http://www.qedu.org.br/escola/218488-colegio-la-salle-dores/censo-escolar,,,
ChIJuwsBAUp4GZURnZUCnNpdJ4w,INST Metodista de Educação e Culturadoutor Lau,"R. Dr. Lauro de Oliveira, 71 - Rio Branco, Porto Alegre - RS, 91430-340, Brazil",http://www.colegiometodista.g12.br/,,35137972,"SÃO BERNARDO DO CAMPO
 ",http://www.qedu.org.br/escola/209757-colegio-metodista/censo-escolar,,,
ChIJL4iSdXB3GZUR8jW380CnukE,Certo Vestibulares,"Galeria Santa Fé - Av. Sen. Salgado Filho, 230/501 - Centro Histórico, Porto Alegre - RS, 90010-220, Brazil",https://www.certovestibulares.com.br/,(51) 3341-1059,,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/253686-colegio-universitario/sobre,,,
ChIJz_JdQQZ5GZURWJ2PrCaYg3I,EJA Universitário,"R. Dr. Flores, 327 - Centro Histórico, Porto Alegre - RS, 90020-121, Brazil",,(51) 3228-5431,43175546,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/254889-eja-escola-ens-med-universitario-duque-de-de-caxias/censo-escolar,,,
ChIJqwUtyq95GZURu5z3invcPxE,Escola da Língua Portuguesa,"R. Gonçalo de Carvalho, 209/205 - Floresta, Porto Alegre - RS, 90035-170, Brazil",https://www.carlosluzardo.com.br/contato/,(51) 99955-7502,43107036,"PORTO ALEGRE
 ",http://qedu.org.br/escola/234069-eeef-porto-alegre/censo-escolar,,,
ChIJ_aag3NJ5GZURM0r9JzpokVY,Aula particular,"Rua Tomaz Flores, 428-278 - Independência, Porto Alegre - RS, 90035-200, Brazil",,,43105181,"PORTO ALEGRE
 ",http://qedu.org.br/escola/259647-colegio-estadual-protasio-alves/sobre,,,
ChIJNbRwt7h5GZUR_cOq50cZiOQ,Escola de Educação Infantil Lápis de Cor,"Av. Pernambuco, 2808 - Navegantes, Porto Alegre - RS, 90240-001, Brazil",http://facebook.com/infantillapisdecor/,(51) 99336-1111,35482432,"JACAREÍ
 ",http://www.qedu.org.br/escola/269103-lapis-de-cor-escola-de-educacao-infantil/sobre,,,
ChIJt6TfJxB5GZURwxsmWB_KZuc,Universitário Pré-Vestibular (Centro Histórico),"R. Dr. Flores, 327 - Centro Histórico, Porto Alegre - RS, 90020-123, Brazil",https://www.universitario.com.br/unidade/centro-historico,(51) 3225-0966,, Porto Alegre ,,,,
ChIJQ7lvbFl4GZURXnPNQQWdPeE,Colégio Nossa Senhora de Lourdes,"R. Marcílio Dias, 1201 - Menino Deus, Porto Alegre - RS, 90130-000, Brazil",http://www.cnsl.com.br/,(51) 3223-1285,31054071,"GOVERNADOR VALADARES
 ",http://www.qedu.org.br/escola/138412-colegio-nossa-senhora-de-lourdes/sobre,COC (Arco),,
ChIJ087eXK55GZURetUYX2-E-nQ,Pre - Vestibular por Disciplina Professor Regis,"Av. Independência - Independência, Porto Alegre - RS, 90035-070, Brazil",,(51) 3222-5822,42125901,"FLORIANÓPOLIS
 ",http://www.qedu.org.br/escola/217314-colegio-e-pre-vestibular-solucao-ltda-me/sobre,,,
ChIJ7ckuvLF5GZUR3GMT-A18F_Y,Rede ICM,"R. André Puente, 460 - Independência, Porto Alegre - RS, 90035-150, Brazil",http://redeicm.org.br/,(51) 3323-9700,43107419,"PORTO ALEGRE
 ",http://qedu.org.br/escola/258495-colegio-mae-de-deus/censo-escolar,Positivo,,
ChIJ6zj-hKV5GZUR7Ph4ZQLKNug,omatematico.com,"R. Ernesto Alves, 332 - Floresta, Porto Alegre - RS, 90220-190, Brazil",http://www.omatematico.com/,(51) 3225-5259,43104940,"PORTO ALEGRE
 ",https://www.qedu.org.br/escola/257511-colegio-batista/censo-escolar,,,
