place_id,name,formatted_address,website,formatted_phone_number
ChIJ7du5gRsAswcR9B3cGTCzPG8,Complexo de Ensino Noilde Ramalho EDHC,"Av. Hermes da Fonseca, 789 - Tirol, Natal - RN, 59014-555, Brazil",http://www.noilderamalho.com.br/,(84) 3215-2900
ChIJZeZwB2X_sgcRRsD8raJy1Tg,Facex College - Early Childhood Education,"R. Orlando Silva, 1978 - Capim Macio, Natal - RN, 59080-020, Brazil",http://www.facex.com.br/,(84) 3235-1415
ChIJ-S2wYnEAswcR6c15jLIbv4k,Salesian College St. Joseph,"R. Henrique Castriciano, 335 - Ribeira, Natal - RN, 59012-430, Brazil",http://www.salesianorn.com.br/saojose,(84) 3211-4220
ChIJj6Vzh9NIzpQRl3nrld5sPR4,CR.P.CONV A MAO COOPERADORA - NUCLEO VILA NATAL,"R. Hierapolis, 239 - Jardim Santa Fe (Zona Sul), São Paulo - SP, 04859-090, Brazil",,(11) 5526-8973
ChIJswSBBfL_sgcR8C6ttk7nFAw,Colégio Objetivo de Natal,"Av. Rui Barbosa, 1117 - Lagoa Nova, Natal - RN, 59056-300, Brazil",http://www.objetivo.br,(84) 3215-9900
